record_date,source,unit_name,activity_count,response_completed,follow_up_needed,value_estimate,status_stage,owner_group,channel_note
2026-04-01,Phone Desk,Beta Branch,35,1,0,,new,Team C,phone is intake method
2026-04-02,Walk-in,Delta Site,61,0,0,524.9,pending,Team C,campaign is internal label
2026-04-03,Phone Desk,Beta Branch,27,1,0,,reviewed,Team A,campaign is internal label
2026-04-04,Portal,Gamma Desk,45,0,0,,new,Team A,campaign is internal label
2026-04-05,Walk-in,Beta Branch,59,1,1,,closed,Team A,
2026-04-06,Campaign named internal,Alpha Clinic,16,1,0,93.61,complete,Team A,
2026-04-07,Portal,Alpha Clinic,34,1,0,729.2,complete,Team B,campaign is internal label
2026-04-08,Portal,Delta Site,81,1,0,,complete,Team B,
2026-04-09,Referral,Delta Site,9,0,1,264.43,pending,Team B,
2026-04-10,Campaign named internal,Alpha Clinic,5,1,0,194.99,new,Team A,
2026-04-11,Walk-in,Delta Site,87,1,1,410.95,new,Team A,campaign is internal label
2026-04-12,Phone Desk,Alpha Clinic,9,0,0,749.8,pending,Team C,campaign is internal label
2026-04-13,Campaign named internal,Gamma Desk,77,1,0,632.57,reviewed,Team A,campaign is internal label
2026-04-14,Referral,Gamma Desk,43,0,1,72.16,reviewed,Team B,phone is intake method
2026-04-15,Campaign named internal,Alpha Clinic,87,1,0,127.39,pending,Team A,campaign is internal label
2026-04-16,Referral,Gamma Desk,22,0,0,430.49,new,Team A,campaign is internal label
2026-04-17,Phone Desk,Gamma Desk,64,1,0,560.18,reviewed,Team A,not call tracking
2026-04-18,Referral,Gamma Desk,11,0,0,255.05,reviewed,Team B,campaign is internal label
2026-04-19,Walk-in,Delta Site,51,1,1,96.1,reviewed,Team B,phone is intake method
2026-04-20,Phone Desk,Beta Branch,63,1,1,624.77,pending,Team B,
2026-04-21,Referral,Alpha Clinic,68,0,0,603.93,reviewed,Team A,campaign is internal label
2026-04-22,Walk-in,Alpha Clinic,89,0,1,,closed,Team C,phone is intake method
2026-04-23,Portal,Gamma Desk,81,0,0,500.74,reviewed,Team C,
2026-04-24,Walk-in,Gamma Desk,81,1,0,373.09,closed,Team A,phone is intake method
2026-04-25,Referral,Alpha Clinic,85,0,0,661.56,closed,Team C,not call tracking
2026-04-26,Phone Desk,Delta Site,15,1,0,,new,Team C,campaign is internal label
2026-04-27,Portal,Delta Site,37,1,0,694.14,complete,Team C,not call tracking
2026-04-28,Campaign named internal,Beta Branch,53,0,0,765.88,new,Team A,
2026-04-29,Referral,Alpha Clinic,50,1,1,139.37,closed,Team A,campaign is internal label
2026-04-30,Referral,Alpha Clinic,74,1,0,523.4,pending,Team B,campaign is internal label
2026-05-01,Referral,Delta Site,40,1,0,453.61,reviewed,Team B,not call tracking
2026-05-02,Referral,Beta Branch,66,1,0,,closed,Team C,not call tracking
2026-05-03,Referral,Delta Site,64,1,0,598.86,new,Team C,campaign is internal label
2026-05-04,Campaign named internal,Alpha Clinic,66,0,1,,new,Team A,phone is intake method
2026-05-05,Walk-in,Alpha Clinic,73,1,0,438.38,new,Team B,
2026-05-06,Phone Desk,Delta Site,33,1,0,174.55,reviewed,Team B,not call tracking
2026-05-07,Campaign named internal,Delta Site,5,0,1,,reviewed,Team B,phone is intake method
2026-05-08,Campaign named internal,Delta Site,80,1,0,588.39,pending,Team B,phone is intake method
2026-05-09,Walk-in,Delta Site,69,0,0,278.1,closed,Team C,not call tracking
2026-05-10,Referral,Gamma Desk,61,1,1,283.58,new,Team A,not call tracking
2026-05-11,Portal,Gamma Desk,71,1,1,,pending,Team A,campaign is internal label
2026-05-12,Walk-in,Alpha Clinic,18,1,1,189.47,complete,Team B,campaign is internal label
2026-05-13,Walk-in,Gamma Desk,64,1,0,77.99,new,Team C,campaign is internal label
2026-05-14,Phone Desk,Beta Branch,90,1,0,718.46,complete,Team A,phone is intake method
2026-05-15,Walk-in,Delta Site,3,1,0,189.55,closed,Team B,phone is intake method
2026-05-16,Referral,Gamma Desk,46,1,1,488.03,reviewed,Team C,phone is intake method
2026-05-17,Campaign named internal,Beta Branch,82,1,0,769.16,reviewed,Team B,campaign is internal label
2026-05-18,Phone Desk,Alpha Clinic,61,0,0,,closed,Team B,phone is intake method
