event_ref,call_started_at,traffic_origin,utm_campaign_name,device_type,call_result,talk_seconds,qualified_flag,booking_created,ad_cost_aud,estimated_job_value_aud,tracking_line_type,region
CT2-10001,2026-01-05,Organic Search,Service NSW,mobile,answered,425,0,0,0,,DNI,NSW
CT2-10002,2026-01-06,Local SEO,Competitor Terms,desktop,answered,8,0,0,0.74,,DNI,NSW
CT2-10003,2026-01-07,Organic Search,Brand AU,desktop,answered,196,0,0,2.15,,DNI,QLD
CT2-10004,2026-01-08,Direct,Brand AU,desktop,missed,0,0,0,1.26,,Static,NSW
CT2-10005,2026-01-09,Paid Search,Brand AU,tablet,answered,260,1,0,54.86,,Pool,VIC
CT2-10006,2026-01-10,Social Paid,Install Quote,mobile,answered,391,1,0,35.96,,Pool,NSW
CT2-10007,2026-01-11,Paid Search,Emergency Repair,mobile,answered,118,0,0,60.92,,Pool,QLD
CT2-10008,2026-01-12,Local SEO,Install Quote,mobile,voicemail,0,0,0,23.96,,DNI,QLD
CT2-10009,2026-01-13,Paid Search,Emergency Repair,desktop,answered,410,0,0,60.93,,Pool,NSW
CT2-10010,2026-01-14,Display,Emergency Repair,mobile,answered,144,0,0,15.5,,Pool,VIC
CT2-10011,2026-01-15,Paid Search,Install Quote,mobile,answered,97,1,0,46.66,,Static,QLD
CT2-10012,2026-01-16,Referral Partner,Local Suburb,desktop,answered,181,1,1,0,1273.7,DNI,SA
CT2-10013,2026-01-17,Paid Search,Competitor Terms,tablet,answered,239,1,0,64.55,,Pool,VIC
CT2-10014,2026-01-18,Paid Search,Local Suburb,mobile,answered,226,1,1,62.64,1078.76,Static,NSW
CT2-10015,2026-01-19,Paid Search,Brand AU,tablet,answered,148,0,0,53.31,,Pool,NSW
CT2-10016,2026-01-20,Organic Search,Brand AU,tablet,answered,83,0,0,12.71,,Pool,QLD
CT2-10017,2026-01-21,Paid Search,Retarget Q1,tablet,answered,164,1,0,42.17,,Static,SA
CT2-10018,2026-01-22,Social Paid,Competitor Terms,desktop,answered,255,1,0,31.55,,Static,QLD
CT2-10019,2026-01-23,Referral Partner,Competitor Terms,tablet,answered,131,0,0,11.55,,Static,QLD
CT2-10020,2026-01-24,Social Paid,Local Suburb,mobile,answered,248,0,0,37.13,,Pool,SA
CT2-10021,2026-01-25,Referral Partner,Retarget Q1,mobile,answered,218,0,0,7.35,,Static,SA
CT2-10022,2026-01-26,Referral Partner,Competitor Terms,desktop,abandoned,21,0,0,0,,Pool,QLD
CT2-10023,2026-01-27,Local SEO,Competitor Terms,mobile,answered,295,0,0,17.04,,Static,SA
CT2-10024,2026-01-28,Paid Search,Retarget Q1,desktop,answered,112,0,0,47.96,,Static,QLD
CT2-10025,2026-01-29,Organic Search,Emergency Repair,mobile,answered,0,0,0,2.27,,Pool,SA
CT2-10026,2026-01-30,Display,Emergency Repair,mobile,answered,103,1,0,30.31,,Pool,QLD
CT2-10027,2026-01-31,Social Paid,Service NSW,mobile,answered,148,0,0,36.65,,Pool,VIC
CT2-10028,2026-02-01,Social Paid,Competitor Terms,tablet,answered,127,1,0,19.29,,Static,SA
CT2-10029,2026-02-02,Organic Search,Service NSW,tablet,answered,324,1,1,23.22,520.06,Static,QLD
CT2-10030,2026-02-03,Paid Search,Retarget Q1,mobile,abandoned,105,0,0,52.02,,DNI,NSW
CT2-10031,2026-02-04,Organic Search,Service NSW,desktop,answered,262,1,1,7.92,1188.78,Pool,NSW
CT2-10032,2026-02-05,Social Paid,Competitor Terms,mobile,answered,190,0,0,37.85,,Pool,VIC
CT2-10033,2026-02-06,Referral Partner,Install Quote,desktop,answered,232,1,0,21.8,,DNI,VIC
CT2-10034,2026-02-07,Referral Partner,Emergency Repair,desktop,answered,65,0,0,10.25,,Pool,SA
CT2-10035,2026-02-08,Paid Search,Emergency Repair,mobile,answered,285,0,0,57.4,,DNI,VIC
CT2-10036,2026-02-09,Paid Search,Retarget Q1,desktop,answered,262,1,1,54.58,,DNI,SA
CT2-10037,2026-02-10,Organic Search,Retarget Q1,mobile,answered,167,1,0,11.89,,Static,NSW
CT2-10038,2026-02-11,Paid Search,Local Suburb,desktop,answered,309,1,0,50.09,,DNI,VIC
CT2-10039,2026-02-12,Social Paid,Competitor Terms,tablet,answered,98,0,0,39.96,,DNI,QLD
CT2-10040,2026-02-13,Social Paid,Install Quote,tablet,answered,223,0,0,26.95,,DNI,SA
CT2-10041,2026-02-14,Organic Search,Competitor Terms,mobile,missed,85,0,0,8.33,,Static,QLD
CT2-10042,2026-02-15,Paid Search,Emergency Repair,desktop,answered,446,0,0,45.59,,Static,QLD
CT2-10043,2026-02-16,Paid Search,Emergency Repair,desktop,answered,226,1,1,43.08,880.56,Static,NSW
CT2-10044,2026-02-17,Paid Search,Emergency Repair,mobile,answered,119,0,0,59.36,,Pool,SA
CT2-10045,2026-02-18,Paid Search,Competitor Terms,tablet,answered,255,1,0,57.36,,Pool,QLD
CT2-10046,2026-02-19,Social Paid,Service NSW,tablet,answered,290,0,0,62.28,,Pool,QLD
CT2-10047,2026-02-20,Referral Partner,Service NSW,desktop,answered,226,1,0,27.03,,DNI,NSW
CT2-10048,2026-02-21,Referral Partner,Competitor Terms,mobile,answered,152,0,0,3.7,,Pool,VIC
CT2-10049,2026-02-22,Organic Search,Service NSW,desktop,answered,169,0,0,8.37,,Pool,QLD
CT2-10050,2026-02-23,Local SEO,Brand AU,tablet,abandoned,102,0,0,17.23,,Pool,SA
CT2-10051,2026-02-24,Display,Brand AU,tablet,answered,87,0,0,16.18,,DNI,VIC
