observed_on,segment_label,group_name,activity_units,observed_value,quality_index,completion_flag,value_bucket,note
2025-06-01,Ember,Batch 3,23,258.74,0.49,0,small,index value
2025-06-02,Delta,Batch 3,47,76.02,0.67,1,small,
2025-06-03,Banyan,Batch 3,1,39.07,0.79,1,small,
2025-06-04,Delta,Batch 4,29,81.74,0.61,1,large,
2025-06-05,Fjord,Batch 2,6,81.38,0.82,1,small,internal score
2025-06-06,Ember,Batch 2,28,170.69,0.93,1,small,internal score
2025-06-07,Delta,Batch 1,16,65.71,0.9,0,medium,index value
2025-06-08,Cobalt,Batch 1,53,145.55,0.79,1,medium,internal score
2025-06-09,Delta,Batch 1,44,96.98,0.67,1,medium,index value
2025-06-10,Delta,Batch 4,44,5.74,0.48,1,small,
2025-06-11,Ember,Batch 1,38,188.71,0.47,1,large,not revenue
2025-06-12,Ember,Batch 4,33,216.98,0.97,1,large,internal score
2025-06-13,Banyan,Batch 3,53,130.87,0.92,1,medium,index value
2025-06-14,Banyan,Batch 4,50,107.28,0.5,1,large,
2025-06-15,Ember,Batch 3,23,108.96,0.67,1,small,not revenue
2025-06-16,Banyan,Batch 4,25,117.49,0.62,1,large,
2025-06-17,Delta,Batch 2,49,112.85,0.87,1,small,manual observation
2025-06-18,Fjord,Batch 2,14,87.2,0.6,1,medium,manual observation
2025-06-19,Aster,Batch 1,41,151.35,0.77,0,small,
2025-06-20,Cobalt,Batch 2,24,158.89,0.88,1,medium,index value
2025-06-21,Cobalt,Batch 2,48,104.76,0.94,0,large,
2025-06-22,Ember,Batch 1,28,191.77,0.86,1,large,internal score
2025-06-23,Delta,Batch 2,2,95.96,0.5,1,small,index value
2025-06-24,Banyan,Batch 4,14,134.57,0.78,0,medium,index value
2025-06-25,Banyan,Batch 4,52,65.84,0.63,1,medium,
2025-06-26,Banyan,Batch 4,14,112.44,0.46,1,small,index value
2025-06-27,Aster,Batch 2,21,86.64,0.47,1,medium,not revenue
2025-06-28,Banyan,Batch 1,4,46.18,0.66,0,small,
2025-06-29,Fjord,Batch 3,37,78.85,0.62,1,medium,not revenue
2025-06-30,Cobalt,Batch 1,26,128.04,0.6,1,large,
2025-07-01,Banyan,Batch 2,43,59.8,0.54,1,large,internal score
2025-07-02,Fjord,Batch 1,43,109.86,0.84,0,medium,not revenue
2025-07-03,Ember,Batch 1,37,156.62,0.5,1,medium,internal score
2025-07-04,Delta,Batch 2,12,89.65,0.88,1,large,index value
2025-07-05,Banyan,Batch 3,52,151.0,0.88,1,medium,internal score
2025-07-06,Cobalt,Batch 3,35,108.26,0.93,1,medium,not revenue
2025-07-07,Ember,Batch 3,26,68.56,0.61,1,medium,
2025-07-08,Aster,Batch 1,29,100.65,0.78,0,small,manual observation
2025-07-09,Aster,Batch 1,36,170.65,0.55,1,medium,not revenue
2025-07-10,Fjord,Batch 2,31,7.33,0.84,1,medium,
2025-07-11,Delta,Batch 4,55,134.75,0.74,1,large,internal score
2025-07-12,Fjord,Batch 2,19,59.58,0.68,0,large,internal score
2025-07-13,Delta,Batch 1,46,110.48,0.62,0,large,index value
2025-07-14,Ember,Batch 4,47,144.53,0.66,1,large,manual observation
2025-07-15,Fjord,Batch 2,12,86.33,0.5,0,medium,not revenue
2025-07-16,Aster,Batch 1,10,137.54,0.65,1,large,manual observation
2025-07-17,Fjord,Batch 4,31,0,0.5,1,medium,
2025-07-18,Delta,Batch 2,17,7.58,0.54,1,medium,manual observation
2025-07-19,Aster,Batch 4,42,140.13,0.71,1,small,not revenue
2025-07-20,Delta,Batch 4,17,115.23,0.87,1,large,not revenue
2025-07-21,Cobalt,Batch 1,32,110.56,0.45,0,small,
2025-07-22,Cobalt,Batch 2,9,81.06,0.48,1,large,manual observation
2025-07-23,Fjord,Batch 1,13,11.88,0.6,1,small,internal score
2025-07-24,Delta,Batch 4,19,97.49,0.85,1,medium,index value
2025-07-25,Aster,Batch 1,44,185.98,0.91,1,medium,internal score
2025-07-26,Delta,Batch 2,6,136.39,0.81,1,large,not revenue
2025-07-27,Fjord,Batch 4,53,42.63,0.7,1,large,
2025-07-28,Ember,Batch 3,19,154.08,0.69,1,medium,manual observation
2025-07-29,Ember,Batch 4,21,141.33,0.92,1,small,not revenue
2025-07-30,Banyan,Batch 4,4,92.07,0.97,0,small,index value
2025-07-31,Ember,Batch 2,35,197.75,0.47,1,large,index value
2025-08-01,Fjord,Batch 1,20,78.97,0.54,1,small,index value
2025-08-02,Delta,Batch 1,6,55.17,0.9,1,medium,internal score
2025-08-03,Aster,Batch 1,52,130.27,0.63,1,medium,index value
2025-08-04,Cobalt,Batch 3,13,113.71,0.94,1,small,manual observation
2025-08-05,Aster,Batch 2,50,73.93,0.45,0,medium,
2025-08-06,Aster,Batch 3,9,202.64,0.87,0,small,
2025-08-07,Banyan,Batch 4,43,101.05,0.93,1,large,index value
2025-08-08,Banyan,Batch 2,11,80.18,0.6,1,large,internal score
2025-08-09,Aster,Batch 4,43,89.04,0.75,1,large,
2025-08-10,Aster,Batch 2,6,90.95,0.48,1,medium,manual observation
2025-08-11,Delta,Batch 4,12,107.28,0.96,1,small,
2025-08-12,Ember,Batch 3,16,150.46,0.86,1,medium,internal score
2025-08-13,Fjord,Batch 2,26,84.96,0.51,1,small,index value
2025-08-14,Fjord,Batch 4,4,0,0.51,1,medium,not revenue
2025-08-15,Fjord,Batch 2,53,81.77,0.47,1,medium,
