work_date,support_stream,region_name,case_intake,resolved_cases,escalated_cases,reopened_cases,avg_handle_minutes,csat_score,sla_met_flag
2026-03-01,Technical Support,NSW,31,24,1,1,8.7,3.4,1
2026-03-02,Field Service,NSW,25,21,2,1,12.6,4.5,1
2026-03-03,Account Changes,SA,53,46,9,0,30.2,4.0,1
2026-03-04,Retention,SA,38,34,2,0,33.3,4.1,1
2026-03-05,Retention,QLD,34,26,5,1,30.5,4.8,1
2026-03-06,Billing,SA,21,16,2,1,26.2,2.6,0
2026-03-07,Field Service,WA,69,66,2,4,24.7,3.6,1
2026-03-08,Account Changes,TAS,15,11,0,1,7.6,4.7,1
2026-03-09,Account Changes,VIC,13,9,1,0,22.8,4.5,1
2026-03-10,Billing,QLD,29,23,7,1,9.0,4.2,1
2026-03-11,Complaints,TAS,18,12,2,0,7.0,3.7,1
2026-03-12,Field Service,WA,16,13,0,0,9.7,3.7,0
2026-03-13,Field Service,QLD,23,20,1,1,25.9,3.9,0
2026-03-14,Installations,QLD,13,10,3,0,16.1,4.0,0
2026-03-15,Technical Support,QLD,19,14,2,0,13.6,4.4,1
2026-03-16,Billing,QLD,36,34,7,3,22.5,4.4,1
2026-03-17,Field Service,VIC,19,16,1,0,15.5,2.9,1
2026-03-18,Account Changes,QLD,58,46,10,5,17.6,2.6,1
2026-03-19,Technical Support,NSW,14,9,2,0,35.4,3.3,1
2026-03-20,Billing,TAS,26,24,6,0,7.8,4.3,0
2026-03-21,Complaints,VIC,48,46,11,3,27.6,3.5,1
2026-03-22,Billing,VIC,52,45,6,2,33.1,4.8,1
2026-03-23,Installations,WA,49,45,6,2,11.4,2.8,1
2026-03-24,Retention,WA,48,32,8,2,19.8,3.4,1
2026-03-25,Retention,WA,37,31,5,3,17.9,,1
2026-03-26,Field Service,VIC,46,28,2,2,24.9,,1
2026-03-27,Technical Support,VIC,13,9,2,0,14.8,4.7,1
2026-03-28,Field Service,WA,52,47,7,1,35.7,2.7,1
2026-03-29,Installations,QLD,23,16,1,1,16.2,3.5,0
2026-03-30,Account Changes,NSW,18,12,4,0,24.8,2.9,1
2026-03-31,Field Service,NSW,18,12,5,0,20.9,,0
2026-04-01,Technical Support,VIC,51,32,11,0,31.6,3.0,1
2026-04-02,Billing,SA,23,15,5,1,15.0,3.0,1
2026-04-03,Retention,TAS,50,43,2,1,17.0,2.8,1
