reading_date,site_name,solar_kwh,facility_load_kwh,grid_import_kwh,grid_export_kwh,battery_state_pct,temperature_c,maintenance_flag
2025-11-15,Central Office,128.6,85.6,0,38.8,69.4,20.5,0
2025-11-16,East Depot,127.6,85.3,0,24.3,95.7,21.4,0
2025-11-17,South Campus,118.5,298.6,153.1,0,79.3,33.6,0
2025-11-18,North Campus,104.3,170.6,55.6,0,82.5,33.5,0
2025-11-19,West Plant,102.5,102.0,0,17.0,77.9,31.5,0
2025-11-20,South Campus,60.2,203.5,110.4,0,66.0,22.1,0
2025-11-21,North Campus,126.8,131.4,0,0,12.4,37.3,0
2025-11-22,Central Office,122.4,127.3,0,0,28.7,32.2,0
2025-11-23,Central Office,128.7,88.4,0,46.4,,22.5,0
2025-11-24,West Plant,135.4,84.0,0,50.7,47.4,27.6,0
2025-11-25,West Plant,103.4,159.1,43.8,0,53.8,27.4,0
2025-11-26,South Campus,170.1,272.6,96.6,0,55.4,19.2,0
2025-11-27,Central Office,151.8,103.2,0,52.2,77.4,31.7,1
2025-11-28,West Plant,102.3,118.8,0,0,87.8,21.8,0
2025-11-29,East Depot,199.0,160.9,0,47.9,84.6,26.2,0
2025-11-30,East Depot,187.9,106.8,0,75.7,73.0,27.7,0
2025-12-01,South Campus,135.9,183.6,38.7,0,88.5,30.2,0
2025-12-02,South Campus,182.1,244.0,23.2,0,,17.2,0
2025-12-03,Central Office,148.0,116.8,0,66.2,95.7,30.1,0
2025-12-04,West Plant,212.9,213.1,0,27.4,28.8,26.3,0
2025-12-05,South Campus,154.4,186.7,3.3,0,92.7,21.6,0
2025-12-06,West Plant,103.6,147.9,9.7,0,27.9,31.9,0
2025-12-07,East Depot,110.2,149.7,26.4,0,57.2,28.8,0
2025-12-08,North Campus,155.3,154.9,0,0,16.5,28.4,0
2025-12-09,West Plant,145.8,157.0,5.7,0,79.9,38.2,0
2025-12-10,East Depot,201.7,106.6,0,106.4,62.2,17.4,0
2025-12-11,Central Office,185.1,88.9,0,93.9,89.6,34.5,0
2025-12-12,East Depot,105.7,196.3,52.0,0,49.7,37.2,0
2025-12-13,Central Office,151.1,126.6,0,49.9,88.8,26.1,0
2025-12-14,South Campus,135.8,298.4,155.0,0,82.6,38.0,0
2025-12-15,North Campus,106.8,164.5,13.6,0,46.9,19.0,0
2025-12-16,West Plant,152.5,185.1,12.0,0,74.3,28.0,0
2025-12-17,South Campus,139.2,200.7,49.4,0,20.6,18.1,0
2025-12-18,Central Office,164.2,97.3,0,88.4,,23.0,0
2025-12-19,Central Office,184.4,94.1,0,93.2,58.6,31.0,0
2025-12-20,South Campus,192.3,178.4,0,18.5,94.2,25.6,0
2025-12-21,East Depot,145.4,134.8,0,0,56.1,16.5,0
2025-12-22,Central Office,197.3,71.0,0,149.4,38.8,35.4,0
2025-12-23,Central Office,162.6,94.4,0,90.7,53.9,27.2,0
2025-12-24,East Depot,247.5,91.6,0,136.5,,30.2,0
2025-12-25,Central Office,173.7,111.0,0,67.4,68.8,34.9,0
2025-12-26,North Campus,141.4,136.9,0,14.6,82.7,30.1,0
2025-12-27,East Depot,136.2,105.7,0,31.2,51.1,28.1,0
2025-12-28,South Campus,211.0,265.5,21.9,0,19.1,28.3,0
2025-12-29,West Plant,204.4,126.1,0,98.3,51.5,31.8,0
2025-12-30,Central Office,165.7,78.7,0,92.7,30.5,17.8,0
2025-12-31,Central Office,190.5,145.5,0,58.2,32.0,38.2,0
2026-01-01,East Depot,177.2,124.2,0,66.3,66.4,24.2,0
2026-01-02,North Campus,198.9,106.6,0,80.4,,30.1,0
2026-01-03,West Plant,203.2,145.4,0,91.3,95.2,25.5,0
2026-01-04,West Plant,149.2,84.7,0,82.2,59.1,30.9,0
2026-01-05,East Depot,232.2,100.9,0,150.5,57.0,34.6,0
2026-01-06,Central Office,129.6,152.7,0,0,36.2,17.8,0
2026-01-07,East Depot,148.4,99.9,0,59.2,77.3,32.2,0
2026-01-08,North Campus,167.6,141.6,0,43.4,36.1,30.7,0
2026-01-09,Central Office,206.2,113.5,0,106.2,48.4,22.2,0
2026-01-10,West Plant,141.5,118.9,0,32.0,42.5,32.3,0
2026-01-11,North Campus,162.8,156.5,0,0,81.5,26.8,0
2026-01-12,North Campus,164.2,153.1,0,12.2,33.2,38.0,0
2026-01-13,South Campus,128.0,201.9,65.1,0,44.0,24.1,0
2026-01-14,South Campus,153.3,212.0,40.9,0,68.3,27.8,0
2026-01-15,South Campus,123.1,268.1,139.3,0,22.8,23.6,0
2026-01-16,West Plant,168.9,156.7,0,34.6,81.2,28.1,0
2026-01-17,West Plant,185.1,169.5,0,26.7,22.1,30.5,0
2026-01-18,Central Office,182.7,137.0,0,40.2,47.7,24.4,0
2026-01-19,North Campus,159.1,83.4,0,81.1,12.4,38.3,0
2026-01-20,West Plant,116.5,171.0,41.0,0,44.7,28.7,0
2026-01-21,West Plant,172.6,180.7,7.0,0,43.9,21.7,1
2026-01-22,West Plant,154.0,236.5,46.2,0,,31.8,0
2026-01-23,East Depot,126.0,82.1,0,35.1,10.5,37.2,0
2026-01-24,East Depot,53.7,121.8,68.0,0,50.5,25.0,0
2026-01-25,Central Office,129.0,155.8,13.3,5.1,23.6,19.1,0
2026-01-26,Central Office,163.4,142.4,0,47.7,95.1,37.6,0
2026-01-27,South Campus,115.4,218.0,99.4,0,82.5,18.2,0
2026-01-28,North Campus,107.0,202.6,94.9,0,71.6,35.9,0
2026-01-29,North Campus,175.7,164.9,0,32.5,78.7,19.8,0
2026-01-30,Central Office,121.6,72.4,0,63.1,59.1,17.4,0
2026-01-31,East Depot,96.1,111.3,0,7.7,64.0,32.9,0
2026-02-01,West Plant,97.6,147.8,17.0,0,87.9,37.3,0
2026-02-02,Central Office,75.5,35.5,0,27.6,,28.9,0
2025-11-15,Central Office,93.1,98.6,0,26.0,27.4,36.6,0
2025-11-16,West Plant,82.2,143.8,42.1,0,69.6,20.0,0
2025-11-17,East Depot,139.5,135.8,0,22.1,62.5,32.1,0
2025-11-18,North Campus,72.3,127.9,41.4,0,67.7,18.6,0
2025-11-19,North Campus,133.9,116.2,0,39.7,89.2,36.6,0
2025-11-20,West Plant,57.7,185.1,102.9,0,33.4,36.0,0
2025-11-21,South Campus,105.4,147.6,14.4,0,26.8,24.9,1
2025-11-22,South Campus,112.2,265.7,142.2,0,40.1,17.8,0
2025-11-23,East Depot,125.6,118.3,0,1.6,34.2,27.4,0
2025-11-24,South Campus,153.3,192.5,34.8,0,46.0,30.3,0
2025-11-25,West Plant,167.8,130.9,0,39.5,92.3,25.4,0
2025-11-26,South Campus,121.6,151.0,0.7,0,90.6,35.1,0
2025-11-27,South Campus,83.6,210.5,116.7,0,51.8,26.4,0
2025-11-28,West Plant,82.8,186.6,94.1,0,10.1,19.7,0
2025-11-29,North Campus,87.3,146.5,24.7,0,59.4,17.9,0
2025-11-30,Central Office,120.3,93.0,0,19.0,30.6,37.2,0
2025-12-01,South Campus,126.1,195.9,54.5,0,25.8,30.5,0
2025-12-02,North Campus,117.4,160.5,35.0,0,83.5,34.5,0
2025-12-03,West Plant,166.0,215.7,14.2,0,18.9,29.6,0
2025-12-04,West Plant,115.3,181.9,22.5,0,94.6,21.6,0
2025-12-05,East Depot,199.7,163.3,0,21.4,71.2,19.5,0
2025-12-06,North Campus,153.0,139.4,0,33.2,76.0,17.7,0
2025-12-07,North Campus,157.9,197.3,17.4,0,14.9,17.2,0
