period_date,channel_group,event_count,qualified_event,converted_event,spend_amount,return_amount,coverage_flag,region
2026-01-01,Channel A,55,1,0,,190.66,0,SA
2026-01-02,Channel A,2,1,0,,481.66,0,SA
2026-01-03,Channel D,13,0,0,1.62,,0,SA
2026-01-04,Channel C,36,1,1,,,0,SA
2026-01-05,Channel D,55,0,0,,,0,SA
2026-01-06,Channel E,22,1,0,,,0,VIC
2026-01-07,Channel A,20,0,0,,,0,NSW
2026-01-08,Channel B,2,0,0,35.21,1021.24,1,QLD
2026-01-09,Channel A,6,0,0,44.29,,0,NSW
2026-01-10,Channel E,38,1,0,128.71,1189.66,1,QLD
2026-01-11,Channel D,8,0,0,115.12,,0,NSW
2026-01-12,Channel D,33,1,0,,,0,VIC
2026-01-13,Channel C,23,0,0,73.16,1191.88,1,VIC
2026-01-14,Channel D,59,1,0,,,0,NSW
2026-01-15,Channel C,58,0,0,,,0,VIC
2026-01-16,Channel B,59,1,1,,1020.89,0,VIC
2026-01-17,Channel B,55,0,0,27.47,616.97,1,SA
2026-01-18,Channel B,26,0,0,33.32,,0,VIC
2026-01-19,Channel A,59,1,0,,,0,QLD
2026-01-20,Channel A,17,1,1,42.38,,0,QLD
2026-01-21,Channel E,36,0,1,133.3,,0,NSW
2026-01-22,Channel E,16,0,0,,833.32,0,QLD
2026-01-23,Channel E,59,0,0,43.55,,0,NSW
2026-01-24,Channel C,27,0,0,107.58,219.52,1,VIC
2026-01-25,Channel B,2,0,0,,,0,SA
2026-01-26,Channel B,19,0,0,,,0,QLD
2026-01-27,Channel B,26,1,0,14.75,,0,VIC
2026-01-28,Channel A,56,1,0,62.57,832.95,1,VIC
2026-01-29,Channel C,57,1,0,,825.15,0,NSW
2026-01-30,Channel B,60,0,0,90.16,,0,SA
2026-01-31,Channel D,23,0,0,62.51,,0,SA
2026-02-01,Channel C,59,0,0,,664.29,0,VIC
2026-02-02,Channel B,5,1,0,130.16,,0,QLD
2026-02-03,Channel A,28,0,0,99.13,,0,QLD
2026-02-04,Channel B,4,0,1,31.24,545.38,1,QLD
2026-02-05,Channel C,34,1,0,99.13,,0,SA
2026-02-06,Channel D,40,1,0,64.32,1155.4,1,QLD
2026-02-07,Channel A,13,1,1,,,0,SA
2026-02-08,Channel B,59,0,0,127.3,121.46,1,VIC
2026-02-09,Channel E,48,1,0,30.47,,0,NSW
2026-02-10,Channel B,39,1,1,26.18,613.34,1,VIC
2026-02-11,Channel D,33,1,0,54.89,,0,NSW
2026-02-12,Channel E,47,0,0,5.36,226.22,1,QLD
2026-02-13,Channel D,49,0,0,,763.37,0,QLD
2026-02-14,Channel E,28,0,0,45.88,,0,VIC
2026-02-15,Channel C,48,0,0,59.66,,0,VIC
2026-02-16,Channel E,32,0,0,,,0,QLD
2026-02-17,Channel E,50,0,1,84.33,559.18,1,SA
2026-02-18,Channel B,47,1,0,48.86,,0,QLD
2026-02-19,Channel A,11,1,0,15.85,,0,NSW
2026-02-20,Channel A,46,1,0,104.32,,0,VIC
2026-02-21,Channel A,35,1,0,,88.54,0,SA
2026-02-22,Channel B,60,1,0,11.61,51.32,1,SA
2026-02-23,Channel E,25,0,0,85.24,,0,VIC
2026-02-24,Channel A,23,1,0,75.81,1188.17,1,QLD
2026-02-25,Channel D,24,0,0,70.92,,0,SA
2026-02-26,Channel A,2,0,0,104.34,701.47,1,NSW
2026-02-27,Channel B,2,1,0,,547.86,0,NSW
2026-02-28,Channel E,33,0,1,,,0,VIC
2026-03-01,Channel B,18,0,0,,,0,VIC
2026-03-02,Channel E,39,1,0,58.69,,0,VIC
2026-03-03,Channel B,46,1,0,123.45,230.8,1,QLD
2026-03-04,Channel A,57,0,0,,,0,SA
2026-03-05,Channel A,11,0,1,,,0,VIC
2026-03-06,Channel E,55,0,0,,117.16,0,SA
2026-03-07,Channel A,51,0,0,,,0,VIC
2026-03-08,Channel A,7,0,1,37.66,811.27,1,SA
2026-03-09,Channel A,8,0,1,89.39,,0,SA
2026-03-10,Channel E,56,0,0,,,0,QLD
2026-03-11,Channel B,43,0,0,,975.85,0,NSW
2026-03-12,Channel B,55,1,0,,727.81,0,VIC
2026-03-13,Channel E,58,0,1,90.14,,0,SA
2026-03-14,Channel E,42,1,0,,,0,VIC
2026-03-15,Channel C,8,0,0,,1149.75,0,QLD
2026-03-16,Channel A,27,0,0,,865.7,0,QLD
2026-03-17,Channel D,5,1,0,,1151.12,0,NSW
2026-03-18,Channel C,3,0,0,69.44,,0,SA
2026-03-19,Channel D,50,1,1,131.72,,0,QLD
2026-03-20,Channel D,46,0,0,4.74,353.48,1,SA
2026-03-21,Channel E,3,1,0,,,0,NSW
2026-03-22,Channel C,58,0,0,81.74,,0,QLD
2026-03-23,Channel B,45,0,0,,,0,SA
2026-03-24,Channel C,20,1,0,82.92,180.02,1,QLD
2026-03-25,Channel C,28,0,0,,,0,SA
2026-03-26,Channel A,40,0,0,,1001.15,0,NSW
2026-01-01,Channel B,27,0,0,,,0,SA
2026-01-02,Channel B,32,0,0,,,0,NSW
2026-01-03,Channel B,56,1,1,35.06,44.99,1,SA
2026-01-04,Channel C,3,1,0,,,0,VIC
2026-01-05,Channel E,4,0,0,105.9,,0,NSW
2026-01-06,Channel E,33,0,0,,,0,QLD
2026-01-07,Channel E,26,1,0,7.39,562.66,1,SA
2026-01-08,Channel A,14,0,0,67.5,139.86,1,SA
2026-01-09,Channel B,49,0,0,80.45,,0,SA
2026-01-10,Channel D,14,0,0,46.66,,0,NSW
2026-01-11,Channel C,60,1,0,,272.67,0,SA
2026-01-12,Channel E,52,0,0,3.68,,0,NSW
2026-01-13,Channel D,3,1,0,136.48,972.48,1,SA
2026-01-14,Channel D,2,0,0,,136.82,0,VIC
2026-01-15,Channel D,36,1,0,98.1,1030.96,1,VIC
2026-01-16,Channel C,19,0,0,75.71,,0,SA
2026-01-17,Channel A,41,0,0,,429.1,0,QLD
2026-01-18,Channel A,21,1,0,,268.41,0,NSW
2026-01-19,Channel C,49,0,0,141.59,,0,QLD
2026-01-20,Channel A,45,1,0,74.58,519.66,1,VIC
2026-01-21,Channel C,15,0,0,,,0,QLD
2026-01-22,Channel D,46,0,0,83.49,725.6,1,VIC
2026-01-23,Channel C,59,0,1,,,0,QLD
2026-01-24,Channel C,25,0,1,146.29,,0,QLD
2026-01-25,Channel E,46,0,0,27.01,456.41,1,NSW
2026-01-26,Channel E,55,0,0,,,0,VIC
2026-01-27,Channel C,25,0,1,,,0,VIC
2026-01-28,Channel D,2,0,1,146.71,,0,QLD
2026-01-29,Channel B,7,0,0,,760.4,0,QLD
2026-01-30,Channel B,21,0,0,14.27,962.81,1,NSW
2026-01-31,Channel B,22,1,1,50.44,,0,QLD
2026-02-01,Channel D,12,1,0,112.48,931.22,1,SA
2026-02-02,Channel C,14,1,1,126.23,745.49,1,VIC
2026-02-03,Channel E,47,0,0,,1162.69,0,VIC
2026-02-04,Channel D,19,0,0,126.81,,0,NSW
2026-02-05,Channel E,5,0,0,10.86,,0,VIC
2026-02-06,Channel C,35,0,0,86.98,,0,VIC
2026-02-07,Channel B,8,1,0,,,0,NSW
2026-02-08,Channel D,34,0,0,9.61,227.3,1,QLD
2026-02-09,Channel B,43,1,0,113.72,608.24,1,QLD
2026-02-10,Channel C,48,0,0,,,0,NSW
2026-02-11,Channel C,46,1,0,123.59,,0,SA
2026-02-12,Channel C,14,0,0,,,0,NSW
2026-02-13,Channel B,19,1,0,37.6,,0,VIC
2026-02-14,Channel E,57,0,0,,,0,NSW
2026-02-15,Channel E,1,0,0,85.08,,0,VIC
2026-02-16,Channel E,34,0,0,109.36,,0,VIC
2026-02-17,Channel E,56,0,0,,446.86,0,SA
2026-02-18,Channel A,38,1,1,,799.79,0,NSW
2026-02-19,Channel A,24,0,0,61.72,,0,VIC
2026-02-20,Channel B,43,0,0,120.16,,0,NSW
2026-02-21,Channel A,12,0,0,128.85,830.9,1,SA
2026-02-22,Channel E,43,1,0,140.49,,0,QLD
2026-02-23,Channel A,38,1,0,110.25,991.74,1,QLD
2026-02-24,Channel D,6,0,0,60.05,733.06,1,SA
2026-02-25,Channel C,58,1,0,,,0,SA
2026-02-26,Channel C,58,0,0,37.7,,0,QLD
2026-02-27,Channel C,3,0,0,115.06,720.98,1,QLD
2026-02-28,Channel D,36,0,0,15.12,57.74,1,QLD
2026-03-01,Channel C,32,0,0,,669.34,0,VIC
2026-03-02,Channel C,46,0,1,,1012.98,0,VIC
2026-03-03,Channel E,1,0,0,,,0,VIC
2026-03-04,Channel E,60,0,0,,,0,NSW
2026-03-05,Channel A,3,0,0,61.9,,0,SA
2026-03-06,Channel B,28,1,0,,328.51,0,QLD
2026-03-07,Channel B,1,0,1,73.75,,0,SA
2026-03-08,Channel C,6,1,1,,1138.61,0,VIC
2026-03-09,Channel B,28,1,0,26.32,,0,SA
2026-03-10,Channel C,59,0,0,,488.1,0,SA
2026-03-11,Channel D,45,1,0,82.69,,0,VIC
2026-03-12,Channel A,10,1,0,,,0,NSW
2026-03-13,Channel E,18,0,0,43.26,,0,VIC
2026-03-14,Channel B,11,0,0,55.21,,0,VIC
2026-03-15,Channel C,53,0,0,139.46,,0,SA
2026-03-16,Channel A,16,1,0,,672.63,0,VIC
2026-03-17,Channel E,18,0,0,29.46,,0,SA
2026-03-18,Channel B,40,0,0,,1082.33,0,VIC
