stock_day,sku_group,fulfilment_site,orders_requested,orders_fulfilled,stockout_flag,fulfilment_cost,gross_sales_value,returns_count,margin_band,supplier_zone
2025-08-01,Homewares,Brisbane DC,22,16,1,95.16,1670.79,0,high,import
2025-08-02,Homewares,Sydney DC,75,52,1,358.97,8244.03,3,low,import
2025-08-03,Lighting,Brisbane DC,16,13,1,63.8,2122.2,1,medium,local
2025-08-04,Lighting,Regional Overflow,45,34,1,608.98,7495.52,0,medium,local
2025-08-05,Homewares,Sydney DC,76,63,0,906.69,14724.28,5,high,local
2025-08-06,Kitchen,Sydney DC,74,59,0,444.43,2752.27,0,high,import
2025-08-07,Homewares,Melbourne DC,80,56,1,459.8,13932.55,1,medium,interstate
2025-08-08,Homewares,Perth DC,75,71,0,305.36,8734.16,1,medium,import
2025-08-09,Outdoor,Regional Overflow,79,62,1,410.77,12433.17,0,low,local
2025-08-10,Homewares,Perth DC,18,17,0,180.54,725.75,0,medium,local
2025-08-11,Appliances,Regional Overflow,17,16,0,156.41,3814.5,1,medium,local
2025-08-12,Furniture,Melbourne DC,8,6,0,44.12,1054.58,0,low,import
2025-08-13,Homewares,Brisbane DC,12,10,0,133.11,992.74,0,high,interstate
2025-08-14,Kitchen,Melbourne DC,34,28,0,441.97,7142.94,0,medium,interstate
2025-08-15,Furniture,Sydney DC,50,46,0,469.79,10893.39,0,medium,import
2025-08-16,Appliances,Brisbane DC,16,14,0,49.88,3588.73,0,low,local
2025-08-17,Homewares,Regional Overflow,35,31,0,457.82,5074.3,2,low,interstate
2025-08-18,Outdoor,Brisbane DC,72,69,0,466.85,10764.16,5,high,import
2025-08-19,Homewares,Perth DC,74,69,0,1199.39,5741.56,5,high,import
2025-08-20,Kitchen,Perth DC,54,39,1,380.02,5752.6,2,low,import
2025-08-21,Homewares,Regional Overflow,37,32,0,487.41,,2,medium,import
2025-08-22,Appliances,Sydney DC,42,36,0,469.97,8626.02,1,high,local
2025-08-23,Appliances,Brisbane DC,62,55,0,761.7,12264.06,4,high,import
2025-08-24,Outdoor,Sydney DC,62,57,0,619.55,9615.86,4,high,import
2025-08-25,Homewares,Melbourne DC,27,18,1,126.05,910.62,1,high,local
2025-08-26,Kitchen,Brisbane DC,38,32,0,452.51,5292.23,0,high,local
2025-08-27,Kitchen,Brisbane DC,14,10,1,61.62,733.99,1,low,import
2025-08-28,Homewares,Regional Overflow,18,16,0,189.48,2307.69,1,high,local
2025-08-29,Outdoor,Brisbane DC,39,31,1,204.68,892.18,2,low,interstate
2025-08-30,Furniture,Sydney DC,66,64,0,1098.92,14316.08,5,medium,interstate
2025-08-31,Appliances,Sydney DC,12,9,1,68.84,676.37,1,low,local
2025-09-01,Appliances,Regional Overflow,68,53,0,749.71,8675.21,2,high,interstate
2025-09-02,Appliances,Perth DC,16,10,1,103.16,468.15,0,high,interstate
2025-09-03,Lighting,Sydney DC,45,37,0,273.81,3811.42,1,medium,local
2025-09-04,Homewares,Regional Overflow,63,47,1,589.84,,1,high,interstate
2025-09-05,Outdoor,Sydney DC,47,36,0,307.68,7907.43,0,medium,interstate
2025-09-06,Homewares,Brisbane DC,67,51,1,182.45,6537.31,3,low,interstate
2025-09-07,Outdoor,Perth DC,70,60,0,784.25,11883.2,4,medium,import
2025-09-08,Kitchen,Sydney DC,25,20,1,98.94,3783.94,0,high,interstate
2025-09-09,Appliances,Perth DC,16,15,0,161.82,1694.36,1,medium,import
2025-09-10,Furniture,Brisbane DC,10,9,0,156.52,2148.87,1,medium,import
2025-09-11,Furniture,Sydney DC,24,20,0,137.94,4163.1,0,high,import
2025-09-12,Lighting,Melbourne DC,67,49,1,732.32,1518.1,0,low,import
2025-09-13,Lighting,Perth DC,52,50,0,638.79,3499.12,2,low,local
2025-09-14,Outdoor,Perth DC,47,40,0,429.93,10156.67,0,low,interstate
2025-09-15,Outdoor,Brisbane DC,69,51,1,378.45,6781.66,2,high,local
2025-09-16,Kitchen,Perth DC,69,54,0,406.37,13333.4,4,low,local
2025-09-17,Furniture,Brisbane DC,54,43,1,578.81,11150.51,2,low,import
2025-09-18,Furniture,Regional Overflow,78,68,0,1119.19,5947.39,3,medium,import
2025-09-19,Lighting,Brisbane DC,12,9,0,144.94,918.54,1,low,import
2025-09-20,Kitchen,Regional Overflow,37,25,1,116.71,6450.77,0,medium,import
2025-09-21,Outdoor,Sydney DC,33,22,0,285.16,5268.32,1,low,local
2025-09-22,Appliances,Melbourne DC,43,34,1,297.26,,2,low,interstate
2025-09-23,Furniture,Brisbane DC,16,14,0,191.01,2604.65,1,high,local
2025-09-24,Furniture,Perth DC,40,30,1,483.57,2799.07,1,medium,import
2025-09-25,Outdoor,Regional Overflow,11,9,1,142.97,1330.96,0,low,interstate
2025-09-26,Lighting,Regional Overflow,21,17,1,237.87,1412.47,0,medium,local
2025-09-27,Furniture,Perth DC,37,32,0,519.84,3404.53,1,medium,import
2025-09-28,Furniture,Perth DC,44,31,1,140.55,6937.99,0,high,import
2025-09-29,Kitchen,Brisbane DC,72,50,1,416.89,3468.49,2,medium,import
2025-09-30,Homewares,Sydney DC,17,15,0,268.9,1373.61,0,medium,local
2025-10-01,Kitchen,Melbourne DC,43,40,0,708.56,2450.69,1,high,interstate
2025-10-02,Furniture,Sydney DC,39,32,0,426.71,3012.3,2,medium,interstate
2025-10-03,Kitchen,Sydney DC,40,33,0,507.38,5938.76,1,low,local
2025-10-04,Kitchen,Melbourne DC,17,15,0,57.54,3289.18,0,high,import
2025-10-05,Outdoor,Melbourne DC,39,29,1,401.3,2013.66,0,low,import
2025-10-06,Furniture,Melbourne DC,17,13,1,170.39,758.36,0,high,interstate
2025-10-07,Homewares,Brisbane DC,29,23,1,384.24,667.39,1,low,interstate
2025-10-08,Homewares,Regional Overflow,14,13,0,74.31,1575.03,0,low,local
2025-10-09,Outdoor,Sydney DC,43,40,0,682.93,10149.91,3,high,local
2025-10-10,Homewares,Perth DC,73,70,0,871.9,15025.49,1,low,import
2025-10-11,Outdoor,Melbourne DC,79,65,0,1172.15,10558.24,1,high,local
2025-10-12,Furniture,Melbourne DC,23,15,1,130.27,1248.63,0,low,interstate
2025-10-13,Appliances,Melbourne DC,20,18,0,169.59,2794.77,1,low,interstate
2025-10-14,Homewares,Sydney DC,11,7,0,56.25,1050.04,1,high,interstate
2025-10-15,Furniture,Brisbane DC,22,17,1,245.17,3066.3,1,medium,interstate
2025-10-16,Outdoor,Sydney DC,67,47,1,176.52,2939.07,3,low,import
2025-10-17,Appliances,Perth DC,13,11,0,184.94,2046.05,0,high,local
2025-10-18,Kitchen,Sydney DC,21,19,0,252.13,2470.69,1,medium,import
2025-10-19,Kitchen,Regional Overflow,32,31,0,411.01,5196.97,1,high,interstate
2025-10-20,Lighting,Perth DC,13,10,0,71.21,792.87,1,high,interstate
2025-10-21,Furniture,Perth DC,28,21,1,144.45,1370.33,0,medium,interstate
2025-10-22,Homewares,Regional Overflow,31,23,1,324.94,1635.85,0,medium,interstate
2025-10-23,Outdoor,Perth DC,54,46,0,494.56,3347.87,2,high,local
