event_date,journey_bucket,channel_hint,source_cluster,touch_score,observed_outcome,value_marker
2026-02-21,New,Organic,A,35,yes,657.6
2026-01-15,Follow Up,Email,C,70,no,486.0
2026-03-13,Proposal,Walk-in,C,83,no,488.7
2026-03-02,Qualified,Email,D,30,no,368.1
2026-01-21,Qualified,Partner,C,71,yes,306.5
2026-03-24,Closed,Partner,B,74,yes,445.2
2026-03-28,Qualified,Partner,B,96,no,333.2
2026-03-16,Closed,Partner,C,98,no,237.3
2026-03-16,New,Organic,C,63,no,546.4
2026-03-29,Proposal,Walk-in,D,28,yes,552.3
2026-01-24,Closed,Email,B,60,no,346.9
2026-01-03,New,Email,B,79,no,479.3
2026-01-22,Qualified,Partner,A,94,no,570.2
2026-02-22,Qualified,Partner,D,37,no,474.6
2026-01-02,New,Phone Desk,A,93,no,306.8
2026-03-29,Qualified,Walk-in,B,22,no,422.1
2026-01-30,New,Organic,D,68,no,609.2
2026-02-07,Closed,Email,C,20,no,479.6
2026-01-02,Closed,Phone Desk,D,96,yes,514.7
2026-03-05,New,Phone Desk,C,68,no,491.0
2026-03-01,Closed,Email,C,91,no,347.3
2026-01-21,Closed,Organic,D,64,no,375.5
2026-02-02,Closed,Phone Desk,C,17,no,490.7
2026-03-17,Follow Up,Phone Desk,A,12,no,548.0
2026-02-27,Proposal,Walk-in,B,22,yes,582.0
2026-01-22,Qualified,Organic,C,17,yes,347.0
2026-03-30,Follow Up,Phone Desk,A,10,yes,502.0
2026-02-18,Closed,Organic,C,65,no,592.4
2026-02-28,New,Email,B,22,no,331.6
2026-02-11,Closed,Partner,A,90,no,628.4
2026-03-01,Proposal,Phone Desk,B,82,no,646.7
2026-03-21,Closed,Walk-in,B,50,no,765.0
2026-01-15,New,Email,A,14,no,477.7
2026-03-03,Proposal,Organic,A,64,no,478.4
2026-03-03,Closed,Email,A,47,no,549.2
2026-02-16,Proposal,Phone Desk,D,29,no,545.7
2026-03-03,Qualified,Organic,A,76,yes,585.2
2026-02-20,Qualified,Partner,A,36,no,544.1
