timeline,value_code,measured_value,priority_index,activity_units,annotation
2026-04-05,M,886.7,5,55,field note
2026-03-10,Z,1034.7,7,69,field note
2026-03-20,M,501.9,3,97,internal tag
2026-05-14,Z,815.7,4,56,internal tag
2026-03-12,M,700.2,9,99,manual observation
2026-05-01,R,468.3,4,34,internal tag
2026-03-18,M,773.9,3,61,manual observation
2026-05-02,M,825.0,2,83,manual observation
2026-03-25,Z,609.8,5,86,internal tag
2026-03-12,Z,874.9,4,103,internal tag
2026-03-21,Z,450.0,8,118,internal tag
2026-03-25,Q,475.8,7,34,field note
2026-03-11,Q,720.5,6,102,manual observation
2026-05-03,M,703.8,2,46,manual observation
2026-05-12,M,592.5,3,15,manual observation
2026-04-19,R,821.4,9,31,internal tag
2026-05-01,R,779.6,9,28,internal tag
2026-04-18,M,828.7,5,103,internal tag
2026-03-14,Q,681.5,3,43,internal tag
2026-03-01,M,790.4,2,76,internal tag
2026-03-25,R,633.2,8,119,field note
2026-04-28,Q,1008.1,6,22,internal tag
2026-05-11,Q,578.1,7,81,manual observation
2026-05-08,R,1015.8,1,49,internal tag
2026-03-05,M,705.2,1,92,manual observation
2026-03-19,Z,493.7,2,119,internal tag
2026-03-23,M,905.2,3,91,internal tag
2026-03-09,M,718.9,1,16,manual observation
2026-04-19,R,827.7,5,53,manual observation
2026-03-16,Q,883.6,3,98,manual observation
2026-04-02,R,750.7,1,35,manual observation
2026-03-02,M,611.2,8,96,field note
2026-03-14,Z,846.4,6,26,manual observation
2026-03-01,Z,700.1,9,48,internal tag
2026-04-27,Z,802.9,3,96,internal tag
2026-03-16,R,376.9,9,68,field note
2026-05-18,Q,767.0,9,81,manual observation
2026-04-16,R,604.2,1,29,internal tag
2026-04-13,Z,948.0,3,112,field note
2026-05-19,M,793.5,6,55,internal tag
2026-03-14,Q,736.0,8,114,field note
2026-03-24,R,772.9,4,11,field note
2026-04-24,R,550.2,5,113,manual observation
2026-03-15,Q,943.5,9,10,field note
2026-05-11,Q,998.7,6,28,internal tag
2026-04-03,M,758.9,7,23,internal tag
2026-03-02,Q,938.6,7,87,manual observation
2026-03-27,M,614.6,4,104,manual observation
2026-05-13,Z,580.4,4,119,field note
2026-05-11,Z,706.1,4,13,manual observation
2026-03-23,R,765.2,5,116,internal tag
2026-05-07,Z,640.9,5,40,internal tag
2026-03-14,Z,780.7,8,106,manual observation
2026-05-02,M,746.0,9,44,manual observation
2026-05-04,R,550.3,2,97,manual observation
2026-05-07,Q,777.8,7,28,field note
2026-05-02,R,829.5,1,52,field note
2026-05-03,Z,725.7,1,67,internal tag
2026-04-01,Q,872.9,4,73,field note
2026-05-18,R,517.4,7,57,field note
2026-03-13,R,770.2,2,58,field note
2026-05-05,R,524.5,2,46,field note
2026-03-19,R,532.9,1,49,internal tag
2026-03-24,M,605.4,2,94,manual observation
2026-03-11,R,558.7,7,18,internal tag
2026-04-28,Z,617.8,9,107,field note
2026-03-15,Z,667.9,6,33,manual observation
2026-03-10,M,825.6,2,10,manual observation
2026-04-10,Q,651.8,9,11,manual observation
2026-03-27,Q,462.2,7,41,internal tag
2026-04-29,Z,871.0,1,57,manual observation
2026-05-12,Z,574.4,9,22,internal tag
2026-04-21,M,691.2,2,91,internal tag
2026-03-28,Q,767.0,4,112,field note
2026-05-04,Q,729.9,9,42,field note
2026-03-17,R,864.1,4,63,manual observation
2026-04-13,R,771.9,3,5,manual observation
2026-03-10,R,570.8,1,72,field note
2026-05-02,M,1026.8,7,119,internal tag
2026-04-16,Z,729.2,6,48,internal tag
2026-04-07,M,677.9,4,51,field note
2026-05-09,Q,844.6,6,39,internal tag
2026-05-15,Z,737.4,6,91,field note
2026-04-22,R,759.9,4,95,field note
2026-05-17,M,1073.8,6,64,manual observation
2026-04-13,M,658.7,8,94,manual observation
2026-05-13,R,652.3,3,56,field note
2026-04-23,M,717.5,4,12,manual observation
2026-03-20,R,860.7,1,111,field note
2026-05-18,Q,474.0,4,84,internal tag
2026-03-31,Z,405.2,9,45,internal tag
2026-03-07,Q,611.9,8,7,internal tag
2026-04-27,Q,454.9,4,100,internal tag
2026-03-10,R,636.3,7,73,field note
2026-03-10,M,775.4,3,88,internal tag
2026-04-08,Q,566.4,9,18,internal tag
2026-03-28,Q,486.0,4,100,internal tag
