sample_day,cluster_id,observed_signal,stability_score,completion_flag,note_group
2025-10-17,X1,140.78,0.87,1,hybrid
2025-09-17,X2,56.4,0.35,1,sensor
2025-09-17,X4,31.05,0.22,1,hybrid
2025-12-27,X4,124.81,0.85,1,hybrid
2025-11-29,X4,73.39,0.63,1,sensor
2025-09-13,X2,110.05,0.87,1,manual
2025-09-17,X1,153.73,0.65,1,sensor
2025-10-08,X3,77.01,0.81,1,manual
2025-11-20,X4,86.79,0.52,1,manual
2025-12-21,X1,109.69,0.76,1,sensor
2025-11-17,X2,54.59,0.88,1,manual
2025-10-15,X3,73.48,0.63,1,manual
2025-09-06,X4,100.87,0.34,1,sensor
2025-10-05,X2,89.48,0.4,1,sensor
2025-12-19,X2,121.29,0.35,1,sensor
2025-09-14,X3,196.81,0.39,1,manual
2025-12-20,X1,103.47,0.43,1,hybrid
2025-11-11,X4,70.54,0.62,1,manual
2025-10-31,X4,149.64,0.64,0,hybrid
2025-09-15,X1,44.39,0.52,1,sensor
2025-10-24,X1,51.39,0.66,1,hybrid
2025-09-27,X1,79.17,0.26,0,sensor
2025-09-13,X3,90.1,0.27,1,sensor
2025-12-22,X3,78.33,0.33,1,hybrid
2025-10-01,X4,98.9,0.59,1,sensor
2025-12-26,X3,109.62,0.36,1,hybrid
2025-12-29,X2,137.41,0.41,0,sensor
2025-10-05,X4,103.19,0.5,1,manual
2025-10-30,X3,80.33,0.81,1,manual
2025-09-06,X1,135.51,0.21,1,sensor
2025-11-08,X2,71.38,0.69,0,sensor
2025-11-25,X1,42.86,0.7,1,hybrid
2025-10-28,X4,142.21,0.8,0,manual
2025-10-19,X1,139.96,0.9,1,hybrid
2025-09-23,X3,72.27,0.22,1,sensor
2025-11-28,X3,86.03,0.32,1,sensor
2025-10-04,X4,67.91,0.86,1,hybrid
2025-09-26,X1,111.43,0.54,1,sensor
2025-10-17,X4,160.62,0.62,1,manual
2025-09-05,X1,124.6,0.7,0,hybrid
2025-11-29,X2,136.25,0.71,1,manual
2025-09-20,X3,128.69,0.9,1,manual
2025-09-06,X4,100.0,0.95,1,manual
2025-11-09,X2,137.92,0.74,1,hybrid
2025-10-29,X2,126.08,0.42,1,sensor
2025-11-03,X4,150.38,0.86,0,manual
2025-12-23,X4,83.92,0.24,1,manual
