date,segment_name,click_count,conversion_count,efficiency_ratio,quality_band
2026-03-31,South,3,1,0.3333333333333333,medium
2026-02-02,West,1,0,0.0,low
2026-03-01,East,3,1,0.3333333333333333,low
2026-04-09,North,0,0,,high
2026-04-06,South,0,0,,medium
2026-02-26,North,4,3,0.75,high
2026-02-10,West,4,0,0.0,high
2026-03-25,South,2,2,1.0,low
2026-03-31,West,3,2,0.6666666666666666,high
2026-02-22,East,0,0,,medium
2026-03-23,West,4,1,0.25,high
2026-03-20,West,3,1,0.3333333333333333,high
2026-02-21,East,4,1,0.25,high
2026-02-22,North,4,0,0.0,low
2026-03-02,East,0,0,,medium
2026-02-25,East,0,0,,low
2026-02-28,West,4,2,0.5,low
2026-04-06,North,1,1,1.0,low
2026-03-17,South,4,1,0.25,low
2026-04-09,East,4,0,0.0,low
2026-02-07,North,2,2,1.0,medium
2026-03-21,East,2,2,1.0,high
2026-02-09,East,2,1,0.5,low
2026-03-08,East,1,1,1.0,low
2026-02-01,East,1,0,0.0,medium
2026-02-10,West,4,3,0.75,medium
2026-03-08,North,2,0,0.0,high
2026-03-18,North,1,0,0.0,medium
2026-03-04,North,0,0,,high
2026-03-04,East,4,1,0.25,low
2026-02-06,West,3,0,0.0,low
2026-03-20,East,4,2,0.5,high
2026-03-10,East,3,2,0.6666666666666666,medium
2026-02-17,North,2,1,0.5,high
2026-02-27,East,3,0,0.0,medium
2026-03-26,South,2,1,0.5,low
2026-03-22,East,0,0,,medium
2026-03-07,South,3,1,0.3333333333333333,high
2026-02-25,East,4,2,0.5,high
2026-02-28,West,2,0,0.0,low
2026-02-15,West,4,1,0.25,medium
2026-02-04,North,1,1,1.0,medium
2026-02-27,East,2,0,0.0,medium
2026-02-26,South,3,1,0.3333333333333333,low
2026-02-19,South,2,2,1.0,medium
2026-02-17,East,4,2,0.5,high
2026-03-15,South,0,0,,medium
2026-03-13,West,2,0,0.0,low
2026-03-14,South,3,0,0.0,medium
2026-03-22,North,1,1,1.0,medium
2026-03-12,West,0,0,,high
2026-03-11,West,1,0,0.0,medium
2026-02-23,West,2,2,1.0,high
2026-03-24,East,4,2,0.5,high
2026-03-19,East,4,1,0.25,low
2026-04-04,West,3,1,0.3333333333333333,high
2026-04-10,East,4,2,0.5,high
2026-03-15,South,0,0,,low
2026-03-20,East,4,1,0.25,high
2026-03-06,East,3,2,0.6666666666666666,low
2026-03-12,West,2,1,0.5,medium
2026-04-02,North,2,1,0.5,low
2026-03-22,North,4,1,0.25,high
2026-04-08,North,1,0,0.0,low
2026-04-03,South,2,0,0.0,high
2026-03-30,East,4,1,0.25,medium
2026-03-05,North,3,0,0.0,low
2026-02-16,West,4,0,0.0,medium
2026-03-20,North,2,2,1.0,high
2026-02-10,North,3,3,1.0,high
2026-03-10,East,4,2,0.5,medium
2026-02-19,East,0,0,,low
2026-03-08,East,3,1,0.3333333333333333,low
2026-03-31,South,0,0,,high
2026-04-04,South,1,0,0.0,medium
2026-03-18,North,3,3,1.0,medium
2026-02-03,East,0,0,,low
2026-04-06,North,2,1,0.5,low
2026-02-08,West,2,2,1.0,low
2026-03-23,West,1,0,0.0,medium
2026-02-06,East,3,1,0.3333333333333333,low
2026-03-11,East,3,1,0.3333333333333333,low
2026-04-01,West,3,1,0.3333333333333333,high
2026-02-28,East,1,0,0.0,low
2026-03-26,South,3,1,0.3333333333333333,low
2026-03-09,South,2,2,1.0,medium
2026-02-09,East,0,0,,medium
2026-03-28,West,2,1,0.5,high
2026-03-31,North,2,2,1.0,low
2026-02-02,East,0,0,,high
2026-04-02,East,2,2,1.0,medium
2026-03-30,North,1,0,0.0,high
2026-04-01,East,0,0,,medium
2026-03-12,North,2,1,0.5,high
2026-03-08,West,4,1,0.25,high
2026-03-09,South,2,1,0.5,low
2026-02-18,West,1,1,1.0,high
2026-04-04,South,3,1,0.3333333333333333,low
2026-02-22,North,2,1,0.5,low
2026-02-11,South,3,2,0.6666666666666666,low
2026-03-30,West,4,1,0.25,low
2026-03-29,South,2,1,0.5,high
2026-02-04,North,0,0,,medium
2026-02-07,South,3,1,0.3333333333333333,medium
2026-04-02,East,4,0,0.0,medium
2026-03-26,West,0,0,,high
2026-04-09,East,0,0,,low
2026-02-01,North,0,0,,medium
2026-03-27,South,0,0,,high
2026-02-03,East,2,1,0.5,low
2026-03-10,East,2,0,0.0,medium
2026-02-01,South,2,0,0.0,low
2026-03-10,South,4,3,0.75,medium
2026-03-01,West,4,2,0.5,medium
2026-02-05,East,4,0,0.0,medium
2026-02-21,East,1,0,0.0,low
2026-04-08,North,4,0,0.0,high
2026-03-19,West,2,1,0.5,low
2026-03-07,North,2,1,0.5,medium
2026-04-09,East,1,0,0.0,low
2026-04-10,North,1,0,0.0,high
2026-02-01,East,4,1,0.25,low
2026-04-09,East,3,2,0.6666666666666666,high
2026-02-12,North,1,1,1.0,high
2026-04-01,North,0,0,,low
2026-02-27,South,2,1,0.5,medium
2026-03-28,South,0,0,,high
2026-02-23,South,2,1,0.5,low
2026-02-25,East,2,1,0.5,high
2026-02-21,North,1,1,1.0,medium
2026-04-02,West,1,1,1.0,low
2026-04-04,East,0,0,,low
2026-03-24,West,2,0,0.0,low
2026-02-25,North,0,0,,medium
2026-03-27,East,3,1,0.3333333333333333,high
2026-03-18,West,0,0,,low
2026-03-04,West,4,1,0.25,high
2026-03-27,South,0,0,,high
2026-02-05,South,4,1,0.25,medium
2026-03-08,South,4,1,0.25,low
2026-03-21,East,4,3,0.75,high
2026-03-30,North,3,0,0.0,low
2026-03-11,North,0,0,,low
2026-04-02,South,0,0,,medium
2026-02-09,South,3,0,0.0,low
2026-02-06,South,2,0,0.0,low
2026-03-07,West,1,0,0.0,high
2026-03-11,South,0,0,,medium
2026-02-22,West,1,0,0.0,low
2026-03-13,North,3,3,1.0,high
2026-02-05,East,2,1,0.5,medium
2026-03-14,East,2,1,0.5,medium
2026-04-08,East,2,1,0.5,high
2026-03-02,East,3,1,0.3333333333333333,high
2026-03-29,West,4,2,0.5,high
2026-03-01,West,4,1,0.25,high
2026-03-09,South,1,0,0.0,high
2026-02-13,West,4,3,0.75,low
2026-03-04,South,4,3,0.75,low
2026-03-18,South,2,2,1.0,medium
2026-02-23,East,2,1,0.5,low
2026-03-17,West,1,1,1.0,low
2026-02-17,West,0,0,,low
2026-04-07,South,1,0,0.0,high
2026-02-06,South,1,0,0.0,medium
2026-02-18,North,3,1,0.3333333333333333,medium
2026-02-22,North,3,0,0.0,medium
2026-03-05,South,1,0,0.0,medium
2026-03-02,North,1,1,1.0,low
2026-03-04,North,1,0,0.0,low
2026-03-14,South,4,0,0.0,high
2026-02-10,South,3,0,0.0,medium
2026-03-08,West,1,1,1.0,low
2026-03-06,South,2,1,0.5,low
2026-02-28,South,2,1,0.5,high
2026-02-11,East,4,2,0.5,high
2026-03-11,West,4,3,0.75,high
2026-03-19,West,0,0,,low
2026-02-19,West,0,0,,low
2026-02-15,East,0,0,,high
2026-02-28,South,4,2,0.5,medium
2026-02-24,West,4,1,0.25,high
2026-02-09,West,4,3,0.75,high
2026-03-19,North,2,1,0.5,high
2026-03-05,West,4,1,0.25,high
2026-04-03,South,2,1,0.5,low
2026-02-19,South,0,0,,medium
2026-04-08,North,0,0,,high
2026-03-12,West,0,0,,medium
2026-03-19,West,1,0,0.0,medium
2026-04-06,West,1,0,0.0,medium
2026-03-01,East,3,1,0.3333333333333333,high
2026-03-22,West,3,0,0.0,low
2026-02-13,South,3,3,1.0,high
2026-02-01,South,1,0,0.0,medium
2026-03-06,East,1,0,0.0,medium
2026-03-20,East,3,1,0.3333333333333333,low
2026-03-20,West,3,1,0.3333333333333333,high
2026-03-21,North,4,0,0.0,medium
2026-04-05,East,3,2,0.6666666666666666,low
2026-04-02,East,4,3,0.75,medium
2026-03-01,West,2,0,0.0,low
2026-03-11,West,1,1,1.0,low
2026-02-26,East,3,2,0.6666666666666666,high
2026-02-17,North,1,1,1.0,medium
2026-02-13,East,1,0,0.0,high
2026-04-10,West,1,0,0.0,medium
2026-02-26,West,2,0,0.0,high
2026-03-21,East,0,0,,medium
2026-04-08,North,3,2,0.6666666666666666,high
2026-02-07,East,0,0,,low
2026-03-30,East,0,0,,medium
2026-03-21,West,0,0,,medium
