record_date,warehouse_zone,ticket_volume,fulfillment_cost,reopen_cases,inventory_group
2025-09-26,B,49,2334.6,3,Office
2025-11-01,D,86,1852.6,7,Office
2025-08-19,C,62,2160.7,11,Office
2025-11-05,C,24,1238.0,10,Office
2025-10-04,C,62,2800.8,6,Office
2025-08-03,B,61,1623.1,6,Furniture
2025-09-11,B,81,1560.3,10,Office
2025-08-21,B,72,3627.4,9,Furniture
2025-11-07,D,82,2532.6,8,Furniture
2025-09-09,A,56,2777.4,12,Kitchen
2025-10-06,D,41,2475.3,4,Kitchen
2025-08-25,B,12,1928.5,5,Furniture
2025-09-24,A,48,1415.9,0,Furniture
2025-10-23,A,9,2020.7,5,Office
2025-09-21,B,73,1613.1,1,Kitchen
2025-09-13,B,35,1649.1,5,Outdoor
2025-11-06,D,49,1250.1,8,Kitchen
2025-10-24,B,13,2268.7,7,Furniture
2025-09-25,A,36,3144.0,8,Furniture
2025-09-24,C,37,2534.9,12,Office
2025-10-26,B,71,2136.5,14,Office
2025-10-09,B,34,2175.7,9,Kitchen
2025-10-16,D,80,371.3,7,Office
2025-10-26,D,33,1945.7,2,Outdoor
2025-10-12,B,7,1344.0,7,Outdoor
2025-10-20,A,61,2280.6,5,Office
2025-10-05,A,34,2044.0,12,Outdoor
2025-08-19,C,13,1678.4,5,Outdoor
2025-10-22,B,30,2267.1,5,Kitchen
2025-08-07,D,6,2262.0,2,Outdoor
2025-10-02,A,66,3111.2,9,Furniture
2025-09-11,C,7,2611.9,0,Furniture
2025-09-11,B,50,2330.2,11,Kitchen
2025-09-28,A,72,1631.5,13,Office
2025-08-20,B,29,1555.9,3,Kitchen
2025-10-12,B,55,2559.3,9,Office
2025-08-17,A,17,2080.0,11,Office
2025-08-27,A,48,2349.6,5,Office
2025-09-16,A,39,2786.8,10,Office
2025-08-02,B,59,1292.1,11,Office
2025-10-02,B,13,3038.2,9,Kitchen
2025-10-01,C,6,2781.6,1,Office
2025-11-08,D,65,967.3,6,Outdoor
2025-08-19,B,45,3611.9,6,Outdoor
2025-08-17,D,48,2392.8,10,Office
2025-10-08,A,68,1912.9,3,Outdoor
2025-09-08,B,35,2511.4,3,Furniture
2025-10-21,C,51,1613.5,14,Kitchen
2025-10-10,C,6,2527.7,0,Kitchen
2025-10-20,D,86,1723.9,12,Office
2025-09-08,A,81,3412.2,1,Office
2025-09-05,D,73,2236.1,8,Furniture
2025-09-09,A,62,2589.9,9,Office
2025-09-14,C,48,1728.4,7,Outdoor
2025-08-04,D,78,2689.9,7,Furniture
2025-08-25,C,60,2192.5,8,Outdoor
2025-10-08,C,47,1352.9,14,Kitchen
2025-08-30,A,38,2056.7,6,Outdoor
2025-10-15,D,34,3358.7,12,Kitchen
2025-10-07,D,75,2715.4,8,Outdoor
2025-10-27,C,74,1972.6,9,Kitchen
2025-08-29,C,59,1078.5,11,Office
2025-10-12,A,71,1700.5,1,Outdoor
2025-10-07,B,17,1356.1,5,Kitchen
2025-09-20,B,7,1093.0,14,Outdoor
2025-08-24,C,30,2671.4,2,Furniture
2025-08-14,B,61,2237.4,10,Office
2025-10-08,B,28,3277.1,14,Kitchen
2025-08-18,B,57,1601.4,5,Furniture
2025-09-11,B,74,2198.6,2,Outdoor
2025-09-26,C,47,1363.5,7,Furniture
2025-10-22,B,64,1843.1,14,Outdoor
2025-08-12,B,62,2066.7,10,Office
2025-10-21,A,53,1975.2,14,Furniture
2025-08-17,C,46,2232.1,12,Office
2025-08-30,D,80,2783.0,3,Kitchen
2025-10-27,D,70,2719.9,11,Outdoor
2025-10-14,A,15,1738.4,9,Outdoor
2025-11-07,A,22,2181.8,5,Office
2025-08-23,C,89,2676.5,14,Office
2025-10-20,D,56,2821.4,8,Kitchen
2025-08-01,B,50,1803.3,1,Furniture
2025-10-18,A,48,2624.9,1,Outdoor
2025-09-01,D,26,2398.7,6,Outdoor
2025-08-09,C,57,1560.4,14,Kitchen
2025-08-15,B,63,2680.1,1,Kitchen
2025-08-28,C,34,2290.9,1,Office
2025-08-24,A,12,1155.2,3,Office
2025-09-29,D,61,2023.7,8,Furniture
2025-09-04,D,77,2223.9,7,Kitchen
2025-10-25,D,24,1836.5,1,Furniture
2025-08-27,D,29,2936.9,7,Kitchen
2025-10-22,B,23,2958.7,3,Outdoor
2025-10-15,B,9,1970.5,1,Kitchen
2025-08-20,C,79,1904.7,10,Kitchen
2025-10-04,B,83,2121.3,9,Outdoor
2025-10-24,A,76,2080.0,6,Kitchen
2025-09-18,A,87,1844.5,5,Furniture
2025-08-01,D,31,-25.3,13,Office
2025-08-10,A,44,3252.9,9,Office
2025-09-16,C,30,2200.3,4,Furniture
2025-09-28,B,31,2093.0,10,Outdoor
2025-11-04,B,66,2395.1,0,Kitchen
2025-10-01,B,87,2152.0,1,Furniture
2025-10-25,A,54,1941.8,7,Office
2025-08-18,B,46,1596.6,0,Office
2025-09-15,D,33,1096.8,2,Furniture
2025-09-01,D,43,1387.4,1,Office
2025-08-27,D,64,1530.0,4,Furniture
2025-10-31,A,45,2590.6,3,Office
2025-08-18,B,37,2634.8,12,Furniture
2025-09-08,A,87,1670.9,6,Kitchen
2025-09-18,B,87,601.8,4,Kitchen
2025-11-01,C,20,2205.5,7,Kitchen
2025-10-21,C,27,1947.1,3,Kitchen
2025-09-13,A,11,1932.2,14,Office
2025-10-11,D,30,2773.6,11,Outdoor
2025-09-23,A,16,2283.2,5,Furniture
2025-11-03,D,76,1614.2,3,Outdoor
2025-09-03,B,9,1476.2,1,Office
2025-10-10,D,73,2042.4,0,Office
2025-09-05,D,53,1656.2,13,Outdoor
2025-08-18,B,30,2156.6,13,Outdoor
2025-09-07,C,9,2815.7,0,Office
2025-09-28,B,26,1372.1,7,Office
2025-08-09,A,83,2252.7,13,Furniture
2025-10-12,A,17,2749.0,3,Kitchen
2025-10-11,A,32,2148.3,4,Kitchen
2025-09-20,A,37,2632.9,10,Furniture
2025-09-04,A,27,2027.6,7,Outdoor
2025-10-21,C,22,2302.5,11,Office
2025-08-05,C,34,2464.5,14,Outdoor
2025-08-14,D,30,1856.8,6,Kitchen
2025-10-31,A,20,3394.4,12,Kitchen
2025-08-30,B,81,2546.5,7,Outdoor
2025-08-04,A,43,2981.8,12,Kitchen
2025-09-08,C,37,2842.6,7,Office
2025-10-23,A,30,2396.4,5,Furniture
2025-10-03,C,52,3031.5,9,Outdoor
2025-08-25,D,69,2312.7,1,Office
2025-08-28,D,42,1762.1,5,Office
2025-10-15,D,6,2208.9,13,Kitchen
2025-10-05,C,10,1596.3,0,Office
2025-10-17,A,50,939.0,0,Outdoor
2025-08-22,A,54,1688.5,10,Office
2025-08-31,B,42,2243.7,2,Furniture
2025-08-23,C,22,2837.2,2,Office
2025-09-17,B,31,1686.7,10,Office
2025-08-20,D,45,2806.1,12,Furniture
2025-09-07,A,76,1473.6,4,Office
2025-09-24,C,78,1648.3,0,Office
2025-10-07,B,21,3069.5,9,Kitchen
2025-10-18,B,66,2228.6,5,Outdoor
2025-10-27,B,33,2095.8,6,Kitchen
2025-10-28,A,62,2341.2,9,Outdoor
2025-08-01,A,74,1476.2,11,Furniture
2025-08-07,A,82,2001.5,12,Furniture
2025-09-26,C,26,2201.6,10,Furniture
2025-11-03,A,10,2938.8,2,Outdoor
2025-08-12,C,30,1197.7,3,Outdoor
2025-08-05,B,43,3257.8,9,Outdoor
2025-09-19,B,16,2125.2,10,Furniture
2025-09-11,D,18,1533.7,9,Outdoor
2025-08-12,A,26,1425.0,13,Office
2025-08-18,B,55,2363.9,11,Kitchen
2025-10-05,A,27,1391.7,14,Furniture
2025-10-13,C,52,1863.9,9,Kitchen
2025-10-18,B,75,2050.1,13,Office
2025-11-02,A,54,2886.2,9,Outdoor
2025-08-17,B,17,2811.1,9,Kitchen
2025-10-07,B,89,1814.2,2,Office
2025-10-10,A,14,2072.4,0,Office
2025-10-01,B,59,1242.8,7,Kitchen
2025-09-10,B,13,976.5,12,Furniture
2025-11-03,B,83,1462.6,9,Kitchen
2025-09-03,B,56,2873.9,9,Furniture
2025-10-09,C,6,2668.0,1,Outdoor
2025-09-14,B,29,2430.1,0,Furniture
2025-09-27,D,17,1325.4,13,Outdoor
2025-09-20,B,55,1773.0,7,Kitchen
2025-09-03,A,62,1685.3,6,Outdoor
2025-09-13,D,38,2100.4,6,Office
2025-08-15,C,39,2062.6,3,Outdoor
2025-10-17,D,7,1598.8,10,Furniture
2025-10-09,D,63,2409.5,8,Furniture
2025-09-19,D,74,2337.4,5,Furniture
2025-09-01,A,52,1762.7,1,Outdoor
2025-10-06,A,68,2382.6,13,Furniture
2025-08-03,A,23,2874.6,0,Furniture
2025-10-25,C,71,3056.8,0,Office
2025-10-25,A,86,2494.4,8,Outdoor
2025-10-13,A,77,2476.8,3,Office
2025-09-20,D,80,2055.9,4,Furniture
2025-10-06,A,9,2817.8,2,Furniture
2025-10-15,B,71,1557.8,3,Furniture
2025-11-01,A,15,2748.3,11,Outdoor
2025-09-17,C,72,2027.4,7,Kitchen
2025-08-17,C,73,3094.6,12,Furniture
2025-08-07,B,5,2552.9,3,Furniture
2025-08-13,C,67,2159.3,8,Furniture
2025-10-05,C,33,2058.1,8,Furniture
2025-08-04,D,86,2515.4,5,Outdoor
2025-08-10,B,16,2486.3,1,Kitchen
2025-10-27,D,81,1961.0,11,Kitchen
2025-08-17,D,45,2255.1,9,Kitchen
2025-09-21,A,6,2737.8,10,Furniture
2025-08-06,B,41,1382.0,6,Furniture
2025-10-22,A,49,2635.5,8,Kitchen
2025-10-08,A,84,2512.7,5,Kitchen
2025-11-04,D,52,2912.0,2,Furniture
2025-10-13,C,28,1770.6,13,Furniture
2025-08-09,B,26,2203.4,14,Office
2025-10-30,C,15,2323.0,6,Office
2025-10-16,D,62,2643.3,4,Office
2025-10-22,D,50,2457.5,0,Kitchen
2025-08-21,D,33,1456.3,2,Outdoor
2025-08-24,D,39,2374.6,4,Furniture
