interaction_id,call_id,lead_id,enquiry_ref,customer_id,interaction_date,created_at,month,source_channel,campaign_name,medium,device_type,region,call_count,lead_count,qualified_calls,qualified_leads,is_sales_qualified,opportunities,closed_won_count,booked_jobs,converted_flag,media_cost_aud,sales_value_aud,job_value_aud,revenue_aud,provided_qualified_rate_pct,provided_conversion_rate_pct,call_status,lead_status,outcome_status
INT-00001,,LEAD-050000,ENQ-DUP-000,CUST-DUP-00,2026-03-26,2026-03-26T15:39:00,2026-03,paid search,EMERGENCY LEAD CAPTURE,CPC,Mobile,QLD,0,0,0,0,0,0,0,0,0,0,,,,161,126,voicemail,disqualified,booked
INT-00002,CALL-030001,,ENQ-07000,CUST-01008,2026-02-21,2026-02-21T14:37:00,2026-02,Direct,Phone Number Recall,direct,Desktop,NSW,4,4,1,2,1,0,0,0,0,,,,,50,0,voicemail,qualified,booked
INT-00003,CALL-030002,,ENQ-07001,CUST-01002,2026-02-04,2026-02-04T15:41:00,2026-02,Display,Programmatic Retargeting,display,Tablet,SA,4,1,0,0,1,0,0,0,0,,,,,0,0,missed,qualified,won
INT-00004,,LEAD-050003,ENQ-07001,CUST-01012,2026-01-03,2026-01-03T17:57:00,2026-01,Direct,Returning Visitors,direct,Desktop,TAS,0,1,0,0,0,0,0,0,0,,,,,0,0,answered,closed_lost,won
INT-00005,CALL-030004,,ENQ-07002,CUST-01004,2026-02-08,2026-02-08T08:55:00,2026-02,Paid Search,High Intent Search,cpc,Desktop,QLD,2,4,0,1,1,1,0,0,0,,978.84,,,25,0,missed,opportunity,won
INT-00006,CALL-030005,LEAD-050005,ENQ-07002,CUST-01010,2026-01-30,2026-01-30T17:33:00,2026-01,Direct,Phone Number Recall,direct,Desktop,VIC,2,1,0,0,0,0,0,1,1,,,1415.54,,0,0,abandoned,new,booked
INT-00007,CALL-030006,LEAD-050006,ENQ-07003,CUST-01013,2026-01-08,2026-01-08T12:50:00,2026-01,Direct,Direct / Unknown,direct,Mobile,NSW,4,2,2,0,1,0,0,1,1,,,908.14,,0,0,voicemail,new,booked
INT-00008,,LEAD-050007,ENQ-07003,CUST-01009,2026-01-29,2026-01-29T10:27:00,2026-01,Referral,Affiliate Warm Leads,referral,Tablet,VIC,3,3,0,2,1,0,0,0,0,,,,,66.67,0,missed,qualified,lost
INT-00009,CALL-030008,LEAD-050009,ENQ-07004,CUST-01017,2026-02-09,2026-02-09T17:47:00,2026-02,Paid Search,High Intent Search,cpc,Desktop,SA,1,0,0,0,1,0,0,0,0,,,,,,,abandoned,opportunity,won
INT-00010,CALL-030009,,ENQ-07004,CUST-01014,2026-02-23,2026-02-23T13:09:00,2026-02,Email,Nurture Reactivation,email,Desktop,NSW,2,5,1,1,1,0,0,0,0,,,,,20,0,missed,qualified,no_answer
