call_uid,call_start_local,traffic_src,campaign_name,device,call_count,missed_calls,qualified_calls,converted_calls,duration_sec,media_spend_aud,job_revenue_aud,call_status
CALL-10000,2025-01-18,Organic Search,Local Service,desktop,2,0,1,0,381,,922.38,answered
CALL-10001,2025-03-03,Meta Ads,Promo,mobile,4,0,2,0,136,44.64,425.74,voicemail
CALL-10002,2025-03-11,Direct,Brand,mobile,1,0,0,0,287,,0.0,answered
CALL-10003,2025-02-07,Programmatic,Local Service,mobile,4,0,1,0,156,101.27,609.87,answered
CALL-10004,2025-03-25,Referral,Promo,tablet,3,0,0,0,72,,0.0,answered
CALL-10005,2025-02-17,Google Ads,Generic,mobile,9,2,1,1,219,55.41,,voicemail
CALL-10006,2025-01-26,Email,Retargeting,mobile,3,0,1,0,352,,354.03,abandoned
CALL-10007,2025-01-21,Google Ads,Retargeting,desktop,6,0,2,1,344,50.78,1788.5,answered
CALL-10008,2025-02-12,Organic Search,Generic,mobile,3,1,0,0,300,,,answered
CALL-10009,2025-02-13,Direct,Retargeting,mobile,3,1,0,0,152,,0.0,answered
CALL-10010,2025-01-28,Meta Ads,Competitor,mobile,6,0,1,0,224,60.38,515.97,answered
CALL-10011,2025-03-01,Meta Ads,Generic,desktop,6,0,0,0,41,33.69,0.0,answered
CALL-10012,2025-03-03,Google Ads,Promo,mobile,9,1,4,0,71,95.87,3350.76,answered
CALL-10013,2025-02-28,Organic Search,Competitor,mobile,5,0,1,1,167,,597.93,missed
CALL-10014,2025-01-24,Referral,Promo,mobile,1,0,0,0,262,,0.0,answered
CALL-10015,2025-01-29,Organic Search,Local Service,desktop,4,0,1,0,390,,470.47,answered
CALL-10016,2025-01-18,Email,Emergency,mobile,1,0,1,0,368,,542.84,answered
CALL-10017,2025-03-17,Organic Search,Generic,mobile,5,0,1,0,83,,466.12,voicemail
CALL-10018,2025-02-08,Organic Search,Brand,desktop,2,1,0,0,167,,,missed
CALL-10019,2025-01-15,Referral,Local Service,mobile,4,1,1,0,279,,1162.63,abandoned
CALL-10020,2025-01-17,Meta Ads,Promo,mobile,4,0,2,0,208,148.7,1073.59,answered
CALL-10021,2025-03-17,Meta Ads,Brand,mobile,1,0,1,1,262,65.9,613.42,answered
CALL-10022,2025-03-04,Email,Promo,mobile,2,0,0,0,323,,0.0,missed
CALL-10023,2025-01-27,Google Ads,Emergency,desktop,6,0,1,0,74,93.79,740.46,answered
CALL-10024,2025-01-15,Google Ads,Emergency,mobile,7,1,2,2,295,30.47,2058.56,answered
CALL-10025,2025-03-10,Organic Search,Retargeting,desktop,6,1,0,0,207,,0.0,answered
CALL-10026,2025-02-07,Google Ads,Emergency,mobile,10,1,3,1,129,55.67,3523.69,missed
CALL-10027,2025-02-28,Organic Search,Retargeting,mobile,3,1,1,1,192,,,answered
CALL-10028,2025-03-07,Referral,Promo,tablet,1,0,0,0,240,,,answered
CALL-10029,2025-01-08,Meta Ads,Generic,desktop,2,0,1,0,134,226.48,470.58,answered
CALL-10030,2025-01-01,Referral,Retargeting,mobile,3,0,3,1,291,,3595.84,abandoned
CALL-10031,2025-01-23,Programmatic,Competitor,mobile,1,1,0,0,112,91.71,,answered
CALL-10032,2025-01-14,Email,Brand,mobile,2,0,1,0,230,,467.75,answered
CALL-10033,2025-03-07,Meta Ads,Local Service,mobile,4,2,0,0,292,88.76,0.0,missed
CALL-10034,2025-03-12,Google Ads,Emergency,desktop,6,0,3,0,174,53.28,3156.0,answered
CALL-10035,2025-03-23,Email,Promo,desktop,2,1,0,0,322,,0.0,missed
CALL-10036,2025-01-10,Organic Search,Promo,mobile,5,1,2,2,210,,1169.94,answered
CALL-10037,2025-02-27,Organic Search,Retargeting,mobile,2,0,1,1,362,,856.9,answered
CALL-10038,2025-02-21,Direct,Generic,mobile,3,0,0,0,129,,0.0,abandoned
CALL-10039,2025-03-07,Google Ads,Promo,mobile,5,0,1,0,233,13.87,,answered
CALL-10040,2025-03-18,Meta Ads,Local Service,mobile,3,1,0,0,196,16.54,,answered
CALL-10041,2025-01-21,Organic Search,Local Service,mobile,5,2,0,0,282,,0.0,answered
CALL-10042,2025-02-18,Referral,Emergency,desktop,3,0,2,0,244,,2174.29,answered
CALL-10043,2025-03-17,Meta Ads,Local Service,mobile,5,1,0,0,215,229.98,0.0,abandoned
CALL-10044,2025-01-22,Google Ads,Local Service,desktop,4,0,1,0,161,52.64,730.81,answered
CALL-10045,2025-03-27,Direct,Emergency,mobile,3,1,0,0,243,,0.0,answered
CALL-10046,2025-01-27,Meta Ads,Emergency,mobile,6,1,4,3,106,34.28,,missed
CALL-10047,2025-02-27,Google Ads,Competitor,mobile,4,0,3,1,206,186.16,2360.71,answered
CALL-10048,2025-03-11,Email,Retargeting,desktop,5,0,3,1,180,,2031.77,answered
CALL-10049,2025-02-05,Google Ads,Generic,desktop,8,1,1,0,410,71.66,681.56,answered
CALL-10050,2025-01-05,Google Ads,Retargeting,mobile,6,0,2,0,107,104.29,1716.42,answered
CALL-10051,2025-02-24,Google Ads,Promo,mobile,7,2,1,1,254,41.17,849.91,answered
CALL-10052,2025-01-01,Direct,Competitor,desktop,4,0,1,0,122,,905.85,missed
CALL-10053,2025-02-01,Google Ads,Local Service,desktop,2,1,1,0,185,142.66,1082.29,answered
CALL-10054,2025-02-24,Google Ads,Brand,mobile,4,0,3,3,209,16.92,1983.85,missed
CALL-10055,2025-02-22,Programmatic,Local Service,mobile,2,0,0,0,163,95.86,,answered
CALL-10056,2025-01-02,Google Ads,Promo,mobile,6,1,3,1,130,303.94,3118.91,answered
CALL-10057,2025-02-17,Direct,Competitor,desktop,3,0,1,1,152,,322.31,missed
CALL-10058,2025-01-13,Google Ads,Retargeting,desktop,7,0,3,1,458,200.61,,answered
CALL-10059,2025-02-04,Programmatic,Retargeting,desktop,3,0,2,1,221,51.32,1500.92,voicemail
CALL-10060,2025-02-09,Programmatic,Retargeting,mobile,1,0,0,0,276,51.15,0.0,answered
CALL-10061,2025-03-13,Email,Competitor,mobile,3,1,0,0,281,,0.0,abandoned
CALL-10062,2025-03-01,Direct,Local Service,mobile,4,0,1,1,110,,753.05,answered
CALL-10063,2025-02-25,Organic Search,Brand,mobile,3,0,0,0,210,,0.0,answered
CALL-10064,2025-03-08,Meta Ads,Generic,mobile,7,1,0,0,164,83.25,0.0,answered
CALL-10065,2025-01-19,Google Ads,Promo,mobile,7,1,3,1,276,78.31,3509.08,answered
CALL-10066,2025-03-04,Meta Ads,Competitor,mobile,5,2,2,1,590,58.61,786.96,answered
CALL-10067,2025-02-19,Programmatic,Emergency,tablet,3,0,1,1,216,124.37,489.04,answered
CALL-10068,2025-01-31,Programmatic,Retargeting,mobile,3,0,0,0,189,113.17,0.0,answered
CALL-10069,2025-03-04,Email,Brand,desktop,2,0,1,0,191,,568.28,answered
CALL-10070,2025-02-14,Google Ads,Generic,mobile,8,3,3,2,209,61.03,2526.2,answered
CALL-10071,2025-03-01,Programmatic,Local Service,mobile,1,1,0,0,150,68.84,0.0,answered
CALL-10072,2025-03-16,Programmatic,Local Service,mobile,4,1,1,0,105,49.5,632.49,answered
CALL-10073,2025-01-19,Referral,Generic,desktop,2,0,2,2,195,,2394.27,answered
CALL-10074,2025-01-28,Email,Promo,mobile,1,0,0,0,108,,0.0,answered
CALL-10075,2025-03-11,Google Ads,Brand,mobile,3,1,1,0,174,153.11,633.05,voicemail
CALL-10076,2025-03-04,Organic Search,Competitor,mobile,4,1,0,0,218,,0.0,answered
CALL-10077,2025-01-13,Programmatic,Brand,mobile,2,0,0,0,262,145.91,0.0,missed
CALL-10078,2025-03-05,Email,Competitor,mobile,2,0,1,1,79,,536.21,answered
CALL-10079,2025-01-28,Google Ads,Competitor,mobile,4,1,2,1,165,90.32,1863.32,answered
CALL-10080,2025-01-19,Direct,Promo,mobile,3,0,1,0,227,,,voicemail
CALL-10081,2025-03-02,Google Ads,Emergency,mobile,6,0,3,2,167,78.71,2182.83,voicemail
CALL-10082,2025-02-07,Direct,Competitor,desktop,2,1,0,0,75,,0.0,voicemail
CALL-10083,2025-02-22,Programmatic,Brand,tablet,6,0,2,1,261,136.14,1777.47,answered
CALL-10084,2025-03-27,Programmatic,Generic,desktop,3,1,1,0,274,147.59,690.39,answered
CALL-10085,2025-01-16,Programmatic,Competitor,mobile,5,1,1,0,166,244.63,695.08,answered
CALL-10086,2025-02-13,Meta Ads,Competitor,desktop,6,1,2,1,225,110.97,1278.91,missed
CALL-10087,2025-03-26,Referral,Emergency,mobile,3,1,0,0,206,,0.0,answered
CALL-10088,2025-01-08,Meta Ads,Competitor,desktop,8,1,1,0,107,109.9,502.36,answered
CALL-10089,2025-01-21,Referral,Generic,mobile,1,0,0,0,294,,,answered
