crm_record_id,lead_id,customer_id,created_date,lead_source,customer_journey_stage,owner_team,region,lead_count,qualified_lead_flag,opportunity_created,closed_won_count,closed_lost_count,callback_required,contact_attempts,estimated_pipeline_value_aud,realized_revenue_aud,days_to_contact,days_in_stage,priority_tier,notes_quality_score
CRM-2026-1000,L-39592,CUST-1407,2026-04-15,Event,Contacted,South Team,VIC,3,1,0,0,0,0,4,4427.52,838.59,2,10,High,0.79
CRM-2026-1001,L-97142,CUST-1195,2026-02-23,Partner,Negotiation,SMB Team,SA,5,1,1,0,0,0,5,7240.28,,1,13,High,0.52
CRM-2026-1002,L-13343,CUST-1188,2026-04-05,Website Form,Closed Lost,Enterprise Team,QLD,4,1,0,0,1,1,1,1011.71,,1,13,Medium,0.58
CRM-2026-1003,L-72752,CUST-1253,2026-01-17,Referral,Negotiation,North Team,SA,1,1,1,0,0,1,1,8366.92,,0,4,High,0.47
CRM-2026-1004,L-37350,CUST-1848,2026-04-19,Referral,proposal,South Team,VIC,10,1,1,0,0,1,3,5763.98,1039.23,4,4,Medium,0.59
CRM-2026-1005,L-31352,CUST-1797,2026-03-15,Outbound,Proposal,South Team,QLD,5,1,1,0,0,1,5,6143.58,,2,17,Medium,0.92
CRM-2026-1006,L-60343,CUST-1169,2026-03-04,Referral,New Lead,SMB Team,SA,6,0,0,0,0,0,1,8717.52,1635.46,3,17,Medium,0.57
CRM-2026-1007,L-52344,CUST-1934,2026-01-23,Outbound,Closed Won,SMB Team,VIC,5,1,1,1,0,0,5,3221.4,2430.68,3,24,Medium,0.6
CRM-2026-1008,L-19337,CUST-1347,2026-04-15,Email Nurture,Contacted,SMB Team,SA,4,0,0,0,0,0,5,,716.46,1,4,Medium,0.64
CRM-2026-1009,L-72292,CUST-1281,2026-03-26,Website Form,Qualified,North Team,VIC,4,1,1,0,0,1,6,,,3,10,High,0.7
CRM-2026-1010,L-42049,CUST-1267,2026-03-30,Referral,Contacted,North Team,SA,9,0,0,0,0,1,1,7090.57,,5,7,High,0.79
CRM-2026-1011,L-97369,CUST-1784,2026-03-18,Event,Closed Won,Enterprise Team,NSW,4,1,1,1,0,0,4,6428.0,6420.51,1,2,Medium,0.49
