crm_record_id,lead_id,created_date,lead_source,customer_journey_stage,owner_team,region,lead_count,qualified_lead_flag,opportunity_created,closed_won_count,callback_required,contact_attempts,estimated_pipeline_value_aud,realized_revenue_aud,days_to_contact,days_in_stage,priority_tier
CRM-2026-1000,L-45772,2026-03-22,Email Nurture,Qualified,South Team,VIC,6,1,0,0,0,3,3332.04,,0,3,Strategic
CRM-2026-1001,L-81087,2026-04-01,Website Form,New Lead,Enterprise Team,VIC,3,0,0,0,0,1,2911.61,,2,4,High
CRM-2026-1002,L-15512,2026-02-13,Website Form,Proposal,North Team,WA,2,1,1,0,1,8,1903.89,,2,16,Medium
CRM-2026-1003,L-31524,2026-02-03,Partner,Qualified,SMB Team,SA,1,1,1,0,0,1,5338.02,,2,18,Medium
CRM-2026-1004,L-12707,2026-02-15,Partner,Proposal,Enterprise Team,VIC,8,1,1,0,1,6,532.43,,4,18,Medium
CRM-2026-1005,L-19868,2026-03-17,Referral,New Lead,Enterprise Team,SA,2,0,0,0,0,4,4378.04,,3,14,High
CRM-2026-1006,L-34437,2026-03-14,Email Nurture,Negotiation,SMB Team,SA,5,1,1,0,1,6,1190.87,,2,23,High
CRM-2026-1007,L-94206,2026-02-01,Outbound,New Lead,Enterprise Team,NSW,2,0,0,0,0,8,5346.36,323.47,4,9,Medium
CRM-2026-1008,L-46320,2026-02-23,Website Form,New Lead,North Team,SA,5,1,1,0,0,4,3347.06,805.18,5,13,High
CRM-2026-1009,L-17605,2026-02-09,Event,Contacted,North Team,WA,1,0,0,0,0,2,5274.52,492.47,0,20,Medium
CRM-2026-1010,L-11018,2026-03-31,Referral,New Lead,North Team,VIC,2,0,0,0,0,2,7122.38,,1,16,Strategic
CRM-2026-1011,L-10919,2026-01-25,Event,Contacted,SMB Team,WA,4,0,1,0,1,5,1187.16,,3,21,Medium
CRM-2026-1012,L-54236,2026-01-03,Outbound,Contacted,South Team,WA,3,0,0,0,0,2,6980.76,,0,26,Medium
CRM-2026-1013,L-78085,2026-04-03,Referral,New Lead,SMB Team,SA,3,0,0,0,0,4,5709.93,,1,14,High
