reading_id,reading_date,site,solar_kwh,load_kwh,grid_import_kwh,grid_export_kwh,battery_discharge_kwh,temperature_c,data_quality
EN-3000,2025-12-01,North,52.02,41.69,14.06,33.25,13.61,22.6,ok
EN-3001,2025-12-01,North,50.71,37.95,13.08,24.12,6.03,18.6,ok
EN-3002,2025-12-01,East,43.93,43.28,27.01,21.53,19.23,17.3,ok
EN-3003,2025-12-01,North,53.05,41.11,19.35,32.61,12.58,18.0,partial
EN-3004,2025-12-02,East,46.42,57.03,40.9,14.37,11.63,23.5,ok
EN-3005,2025-12-02,South,54.02,50.21,24.67,32.21,2.71,28.3,ok
EN-3006,2025-12-02,East,50.91,53.77,27.26,24.23,9.03,27.3,ok
EN-3007,2025-12-02,East,51.3,38.96,20.32,24.42,13.77,20.2,ok
EN-3008,2025-12-03,North,75.54,38.9,0.0,55.12,13.55,25.3,ok
EN-3009,2025-12-03,North,39.99,31.85,17.66,23.03,11.84,17.8,estimated
EN-3010,2025-12-03,South,29.56,63.68,41.24,0.0,11.14,20.6,estimated
EN-3011,2025-12-03,North,61.3,38.76,16.33,33.03,10.83,22.4,ok
EN-3012,2025-12-04,North,56.07,27.56,8.98,34.04,7.24,24.7,ok
EN-3013,2025-12-04,South,31.7,48.87,39.93,7.41,5.69,20.1,ok
EN-3014,2025-12-04,South,29.07,54.39,37.87,0.0,11.81,23.7,partial
EN-3015,2025-12-04,West,13.82,26.81,14.24,4.42,5.58,21.5,ok
EN-3016,2025-12-05,East,45.88,39.13,20.98,23.9,4.0,24.4,ok
EN-3017,2025-12-05,West,40.64,45.38,31.41,6.24,20.4,28.1,estimated
EN-3018,2025-12-05,North,66.43,41.07,20.68,47.12,8.51,22.9,ok
EN-3019,2025-12-05,East,44.08,37.82,24.15,26.44,11.71,20.8,ok
EN-3020,2025-12-06,West,39.65,30.95,16.97,23.78,12.43,24.5,ok
EN-3021,2025-12-06,East,47.85,44.68,29.93,27.77,8.77,16.6,ok
EN-3022,2025-12-06,West,35.0,33.01,16.83,14.76,17.98,28.5,ok
EN-3023,2025-12-06,South,20.43,54.31,43.42,0.0,14.79,17.2,ok
EN-3024,2025-12-07,West,43.43,40.79,33.22,20.84,15.92,32.1,ok
EN-3025,2025-12-07,North,38.85,47.99,33.74,15.57,16.4,27.7,ok
EN-3026,2025-12-07,South,42.31,53.17,24.33,9.66,8.1,24.8,ok
EN-3027,2025-12-07,North,48.6,39.03,20.0,34.35,10.81,23.9,ok
EN-3028,2025-12-08,East,50.9,43.6,18.29,25.19,11.22,24.6,ok
EN-3029,2025-12-08,South,35.58,73.61,54.49,0.0,10.44,21.2,ok
EN-3030,2025-12-08,East,46.9,40.36,19.33,23.14,16.36,27.2,ok
EN-3031,2025-12-08,East,49.38,50.02,19.18,20.33,11.73,36.3,ok
EN-3032,2025-12-09,West,27.2,26.64,12.9,11.83,15.77,23.0,ok
EN-3033,2025-12-09,North,50.83,52.97,32.57,25.27,1.41,27.9,ok
EN-3034,2025-12-09,North,48.58,49.87,27.08,18.16,10.74,27.8,ok
EN-3035,2025-12-09,North,42.96,30.43,15.09,26.89,16.65,18.4,ok
EN-3036,2025-12-10,North,49.13,37.3,20.17,33.66,14.69,27.6,ok
EN-3037,2025-12-10,East,52.82,46.23,26.47,30.63,10.93,15.4,ok
EN-3038,2025-12-10,East,32.54,26.33,18.77,7.73,21.82,28.9,ok
EN-3039,2025-12-10,West,19.73,42.17,32.2,0.0,3.23,27.3,ok
EN-3040,2025-12-11,South,51.22,62.22,43.81,20.04,10.49,27.4,partial
EN-3041,2025-12-11,East,50.27,36.26,18.44,31.21,12.68,18.3,ok
EN-3042,2025-12-11,North,48.72,31.27,7.49,24.03,18.78,35.7,estimated
EN-3043,2025-12-11,South,38.82,67.19,49.39,9.76,10.66,28.8,ok
EN-3044,2025-12-12,South,38.5,71.13,61.96,2.93,8.43,20.4,ok
