record_key,event_date,segment_label,group_name,activity_count,observed_value,quality_score,completion_flag,delay_days,category_note
GEN-7000,2025-08-27,Gamma,Group A,7,277.5,0.662,1,2,standard
GEN-7001,2025-10-01,Beta,Group C,5,973.07,0.669,1,13,verified
GEN-7002,2025-08-13,Echo,Group B,6,456.15,0.706,1,10,standard
GEN-7003,2025-08-06,Beta,Group A,9,1615.87,0.617,1,14,manual review
GEN-7004,2025-08-25,Beta,Group A,1,254.1,0.717,1,3,verified
GEN-7005,2025-09-27,Gamma,Group B,4,430.46,0.788,0,8,standard
GEN-7006,2025-09-12,Beta,Group C,7,1046.9,0.66,0,0,standard
GEN-7007,2025-10-13,Alpha,Group B,10,1097.82,0.828,1,7,verified
GEN-7008,2025-08-02,Alpha,Group C,8,1117.79,0.579,0,7,standard
GEN-7009,2025-08-18,Gamma,Group B,4,393.22,0.774,1,6,verified
GEN-7010,2025-08-15,Delta,Group A,6,1408.07,0.645,1,5,manual review
GEN-7011,2025-10-25,Gamma,Group A,3,211.23,0.851,1,5,standard
GEN-7012,2025-08-26,Foxtrot,Group D,2,,0.579,0,8,standard
GEN-7013,2025-10-16,Beta,Group B,4,564.8,0.575,1,4,standard
GEN-7014,2025-09-13,Alpha,Group A,9,1280.02,0.725,0,5,partial
GEN-7015,2025-11-01,Alpha,Group C,8,1744.42,0.77,1,5,manual review
GEN-7016,2025-10-28,Foxtrot,Group B,2,509.86,0.406,1,4,standard
GEN-7017,2025-10-22,Echo,Group B,3,148.38,0.567,0,2,partial
GEN-7018,2025-08-15,Echo,Group A,2,,0.812,0,13,verified
GEN-7019,2025-10-29,Beta,Group B,4,941.82,0.854,1,10,standard
GEN-7020,2025-10-02,Beta,Group A,9,1521.36,0.717,1,4,standard
GEN-7021,2025-11-05,Alpha,Group A,8,1140.23,0.68,1,4,standard
GEN-7022,2025-08-03,Beta,Group A,11,1430.57,0.679,1,8,standard
GEN-7023,2025-08-30,Echo,Group C,4,226.23,0.689,0,6,standard
GEN-7024,2025-09-04,Alpha,Group D,13,1544.14,0.757,1,1,partial
GEN-7025,2025-10-22,Alpha,Group C,6,896.56,0.713,0,9,manual review
GEN-7026,2025-09-25,Alpha,Group A,16,2153.68,0.57,0,2,standard
GEN-7027,2025-10-05,Alpha,Group C,12,286.43,0.633,1,6,verified
GEN-7028,2025-08-24,Alpha,Group B,10,2155.39,0.786,0,3,standard
GEN-7029,2025-10-14,Delta,Group D,2,468.08,0.537,0,12,standard
GEN-7030,2025-08-04,Delta,Group B,4,833.21,0.635,0,6,standard
GEN-7031,2025-09-01,Alpha,Group D,13,1804.75,0.635,1,5,manual review
GEN-7032,2025-09-08,Beta,Group B,9,2113.01,0.574,0,8,verified
GEN-7033,2025-08-02,Alpha,Group A,14,1612.55,0.672,1,10,standard
GEN-7034,2025-10-17,Gamma,Group C,5,729.61,0.826,1,5,manual review
GEN-7035,2025-08-02,Alpha,Group C,6,552.64,0.828,0,3,manual review
GEN-7036,2025-10-25,Beta,Group C,6,1202.8,0.604,1,1,manual review
GEN-7037,2025-09-25,Beta,Group D,8,902.66,0.662,1,3,partial
GEN-7038,2025-09-27,Delta,Group C,3,994.48,0.549,1,5,standard
GEN-7039,2025-09-05,Beta,Group B,5,1295.18,0.607,1,1,partial
GEN-7040,2025-08-16,Echo,Group B,5,60.7,0.696,1,5,standard
GEN-7041,2025-11-05,Alpha,Group D,8,819.49,0.628,0,1,standard
GEN-7042,2025-10-22,Beta,Group B,6,1109.53,0.521,1,6,standard
GEN-7043,2025-10-24,Beta,Group C,7,1725.91,0.532,1,1,standard
GEN-7044,2025-10-04,Beta,Group B,7,1135.41,0.69,1,0,verified
GEN-7045,2025-11-05,Beta,Group B,5,792.41,0.715,0,0,standard
GEN-7046,2025-10-17,Foxtrot,Group B,1,311.74,0.474,1,2,verified
GEN-7047,2025-09-27,Delta,Group C,2,482.41,0.532,0,2,standard
GEN-7048,2025-10-16,Foxtrot,Group A,6,1463.53,0.415,0,5,standard
GEN-7049,2025-09-20,Beta,Group C,5,819.08,0.676,1,4,standard
GEN-7050,2025-10-27,Echo,Group C,4,0.43,0.586,1,11,standard
GEN-7051,2025-10-05,Gamma,Group D,4,78.14,0.866,1,7,manual review
GEN-7052,2025-08-05,Alpha,Group B,6,587.35,0.556,1,8,standard
GEN-7053,2025-09-07,Gamma,Group D,3,99.35,0.836,1,3,standard
GEN-7054,2025-08-10,Gamma,Group A,4,469.13,0.8,0,1,standard
GEN-7055,2025-08-13,Echo,Group D,1,,0.621,0,4,partial
GEN-7056,2025-10-11,Alpha,Group D,11,1678.5,0.711,1,11,manual review
GEN-7057,2025-09-29,Alpha,Group A,9,1300.13,0.744,0,5,verified
GEN-7058,2025-08-23,Gamma,Group B,9,780.18,0.77,1,5,standard
GEN-7059,2025-09-25,Alpha,Group D,9,910.45,0.74,1,1,standard
GEN-7060,2025-11-04,Gamma,Group D,5,,0.766,0,4,standard
GEN-7061,2025-09-30,Foxtrot,Group A,2,590.22,0.593,1,3,standard
GEN-7062,2025-10-22,Delta,Group A,4,799.77,0.642,1,4,standard
GEN-7063,2025-08-16,Alpha,Group C,7,680.74,0.761,1,8,standard
GEN-7064,2025-09-18,Beta,Group D,8,1411.71,0.682,1,8,standard
GEN-7065,2025-09-30,Alpha,Group A,7,637.72,0.608,0,1,manual review
GEN-7066,2025-08-20,Delta,Group C,5,867.63,0.706,0,1,standard
GEN-7067,2025-09-01,Alpha,Group A,6,605.39,0.639,1,3,verified
GEN-7068,2025-10-10,Alpha,Group D,6,644.95,0.58,1,5,partial
GEN-7069,2025-10-19,Alpha,Group C,9,412.94,0.729,1,2,manual review
GEN-7070,2025-10-16,Delta,Group A,5,,0.605,0,6,standard
GEN-7071,2025-09-10,Delta,Group C,5,1064.68,0.637,1,0,standard
GEN-7072,2025-09-25,Alpha,Group D,10,839.6,0.829,1,4,standard
GEN-7073,2025-11-07,Alpha,Group D,6,405.42,0.782,0,6,verified
GEN-7074,2025-08-22,Beta,Group A,6,932.54,0.639,1,6,standard
GEN-7075,2025-08-19,Alpha,Group B,8,662.96,0.601,0,2,manual review
GEN-7076,2025-09-23,Delta,Group C,1,228.4,0.634,0,7,manual review
GEN-7077,2025-11-01,Delta,Group C,6,928.62,0.586,0,6,standard
GEN-7078,2025-11-06,Echo,Group D,2,,0.657,1,3,manual review
GEN-7079,2025-10-20,Echo,Group B,3,161.66,0.573,1,6,standard
GEN-7080,2025-10-17,Delta,Group B,6,950.14,0.528,1,4,standard
GEN-7081,2025-10-22,Foxtrot,Group C,5,1500.16,0.674,1,4,manual review
GEN-7082,2025-11-04,Echo,Group A,2,30.61,0.787,1,5,verified
GEN-7083,2025-09-18,Alpha,Group C,8,751.52,0.612,1,10,manual review
GEN-7084,2025-09-21,Beta,Group C,3,602.48,0.639,0,3,standard
GEN-7085,2025-08-26,Alpha,Group C,9,1041.12,0.854,0,1,verified
GEN-7086,2025-10-23,Gamma,Group D,6,970.81,0.931,1,4,partial
GEN-7087,2025-09-29,Alpha,Group B,7,1057.62,0.653,0,12,verified
GEN-7088,2025-11-03,Foxtrot,Group A,7,1800.06,0.545,1,3,manual review
GEN-7089,2025-09-27,Beta,Group D,6,630.15,0.814,1,1,partial
GEN-7090,2025-09-19,Foxtrot,Group A,2,637.06,0.607,1,6,standard
GEN-7091,2025-10-23,Foxtrot,Group B,6,1273.48,0.539,0,3,partial
GEN-7092,2025-08-23,Alpha,Group B,6,786.86,0.78,1,4,partial
GEN-7093,2025-10-02,Foxtrot,Group C,4,806.71,0.494,1,8,manual review
GEN-7094,2025-10-17,Gamma,Group B,4,479.7,0.816,1,20,standard
GEN-7095,2025-10-23,Echo,Group B,2,124.32,0.663,1,6,standard
GEN-7096,2025-09-24,Foxtrot,Group A,4,1051.19,0.395,1,9,manual review
GEN-7097,2025-08-21,Alpha,Group A,15,722.82,0.763,0,10,manual review
GEN-7098,2025-09-11,Gamma,Group B,4,304.88,0.761,0,3,manual review
GEN-7099,2025-10-24,Alpha,Group C,12,926.83,0.801,0,11,standard
GEN-7100,2025-11-03,Delta,Group A,5,1190.54,0.514,1,10,standard
GEN-7101,2025-09-20,Alpha,Group D,8,367.43,0.667,1,18,standard
GEN-7102,2025-09-21,Gamma,Group A,3,315.45,0.705,1,6,standard
GEN-7103,2025-08-11,Alpha,Group C,8,1292.85,0.827,0,0,manual review
