ticket_ref,opened_date,service_line,agent_team,region,case_count,missed_contacts,resolved_count,escalation_count,reopen_count,avg_response_minutes,talk_time_seconds,csat_score
TCK-5000,2026-02-15,Technical Support,South,NSW,10,2,8,2,0,88.3,6607,4.03
TCK-5001,2026-04-02,New Install,East,VIC,4,1,4,1,0,96.0,2448,5.29
TCK-5002,2026-03-05,Technical Support,Specialist,VIC,6,0,5,1,0,90.7,1452,4.05
TCK-5003,2026-03-31,Technical Support,South,VIC,4,1,4,1,0,35.4,6502,4.26
TCK-5004,2026-03-03,VIP,South,VIC,6,2,6,0,1,105.3,2857,4.38
TCK-5005,2026-04-07,Technical Support,West,QLD,9,4,8,0,0,18.1,4755,3.93
TCK-5006,2026-02-14,Technical Support,Specialist,QLD,10,0,10,2,1,12.8,9212,3.83
TCK-5007,2026-03-28,New Install,Specialist,QLD,5,2,3,0,0,78.5,4240,4.24
TCK-5008,2026-03-06,General,West,VIC,7,1,5,0,1,13.2,7831,4.61
TCK-5009,2026-03-25,VIP,Specialist,VIC,4,2,2,2,1,134.8,2270,3.58
TCK-5010,2026-02-17,New Install,East,VIC,8,1,7,3,1,54.5,4246,3.62
TCK-5011,2026-02-19,Technical Support,West,NSW,11,3,9,2,0,71.7,6001,4.39
TCK-5012,2026-02-02,VIP,East,WA,5,0,5,1,0,125.1,2764,4.15
TCK-5013,2026-02-22,VIP,South,QLD,2,0,2,0,0,42.1,1771,4.41
TCK-5014,2026-03-01,Retention,Specialist,NSW,2,1,2,0,0,44.9,1182,4.43
TCK-5015,2026-02-14,New Install,Specialist,VIC,9,1,8,1,0,31.9,7986,4.11
TCK-5016,2026-04-02,Billing,North,VIC,1,1,1,0,0,64.5,803,3.75
TCK-5017,2026-03-01,Billing,East,NSW,3,0,2,1,0,44.0,1217,3.27
TCK-5018,2026-03-25,General,East,QLD,8,1,8,0,0,92.6,8483,3.98
TCK-5019,2026-02-17,Billing,East,VIC,3,0,2,1,0,48.8,2375,3.57
TCK-5020,2026-02-06,New Install,South,VIC,6,0,5,2,1,57.0,8693,4.64
TCK-5021,2026-03-13,Billing,South,WA,3,0,3,2,0,3.5,1665,4.31
TCK-5022,2026-04-08,New Install,East,NSW,5,3,3,1,1,55.6,7323,3.75
TCK-5023,2026-02-19,Billing,Specialist,NSW,5,1,4,2,1,98.0,5094,4.3
TCK-5024,2026-03-08,Technical Support,East,QLD,4,1,4,0,0,81.4,2594,4.7
TCK-5025,2026-04-08,New Install,West,WA,9,2,7,1,1,58.5,12640,3.93
TCK-5026,2026-03-12,Retention,East,VIC,6,2,5,4,1,36.4,4646,2.94
TCK-5027,2026-04-04,Billing,Specialist,QLD,3,0,3,0,0,74.0,4407,3.81
TCK-5028,2026-03-26,Technical Support,South,NSW,9,0,6,2,0,80.3,4785,3.69
TCK-5029,2026-03-15,VIP,South,VIC,5,2,5,0,0,75.3,2685,3.74
TCK-5030,2026-02-10,VIP,Specialist,QLD,4,1,4,1,0,34.3,4640,3.66
TCK-5031,2026-03-03,Billing,North,WA,6,0,4,0,0,87.0,8216,4.19
TCK-5032,2026-02-26,Billing,South,NSW,9,2,9,2,0,35.8,8522,3.65
TCK-5033,2026-04-04,Billing,North,QLD,4,0,2,0,0,118.3,5132,4.15
TCK-5034,2026-03-07,Technical Support,North,QLD,11,2,9,3,2,87.4,6283,3.9
TCK-5035,2026-03-10,Technical Support,West,QLD,6,1,5,1,0,18.8,5375,3.27
TCK-5036,2026-02-03,General,North,QLD,11,1,11,0,1,39.0,11023,3.68
TCK-5037,2026-02-17,New Install,North,QLD,7,1,6,1,2,51.7,8091,3.54
TCK-5038,2026-04-10,Technical Support,West,WA,6,0,6,0,0,62.2,7134,4.2
TCK-5039,2026-04-01,New Install,West,WA,10,1,7,0,1,133.8,15799,3.46
TCK-5040,2026-03-15,General,West,VIC,5,0,5,0,0,30.7,3302,4.81
TCK-5041,2026-04-04,Billing,South,QLD,3,1,2,1,0,10.6,1551,3.95
TCK-5042,2026-02-06,Billing,East,WA,7,0,6,1,1,77.2,5024,4.14
TCK-5043,2026-04-03,Retention,South,WA,5,2,4,1,0,66.0,5706,4.65
TCK-5044,2026-03-12,Technical Support,Specialist,VIC,8,2,6,2,0,94.5,6952,3.7
TCK-5045,2026-04-10,Technical Support,Specialist,QLD,10,3,7,4,0,70.2,11794,2.9
TCK-5046,2026-03-13,Billing,South,QLD,3,0,3,0,1,44.1,623,4.47
TCK-5047,2026-03-17,New Install,East,VIC,6,0,6,0,0,49.1,4993,3.15
TCK-5048,2026-02-17,Technical Support,South,WA,7,2,5,3,1,36.1,8487,3.34
TCK-5049,2026-04-08,New Install,West,QLD,8,1,7,1,1,44.0,6723,3.55
TCK-5050,2026-02-06,Technical Support,North,WA,6,0,5,0,1,45.3,7661,4.47
TCK-5051,2026-02-01,New Install,Specialist,WA,6,2,4,0,1,103.8,4322,3.68
TCK-5052,2026-02-10,New Install,West,NSW,7,1,4,1,1,46.7,7226,4.33
TCK-5053,2026-03-23,New Install,South,WA,5,0,4,1,0,45.6,3433,3.81
TCK-5054,2026-02-22,New Install,South,VIC,4,0,4,1,0,93.3,4487,4.5
TCK-5055,2026-02-18,Retention,West,WA,3,0,3,0,0,50.4,3047,3.71
TCK-5056,2026-03-03,New Install,West,WA,6,0,6,0,0,105.2,2786,4.02
TCK-5057,2026-04-07,Technical Support,Specialist,NSW,4,1,3,1,0,81.5,2598,3.48
TCK-5058,2026-03-03,Technical Support,North,QLD,7,0,7,3,1,16.5,6054,3.79
TCK-5059,2026-02-18,Technical Support,East,WA,5,0,5,2,0,47.7,4981,3.41
TCK-5060,2026-02-04,New Install,West,WA,6,2,6,0,0,46.1,3371,3.9
TCK-5061,2026-02-05,Billing,East,NSW,6,1,6,2,0,127.1,5306,3.73
TCK-5062,2026-02-15,Technical Support,West,WA,6,1,5,2,0,23.3,4572,3.14
TCK-5063,2026-02-15,Technical Support,East,NSW,5,2,5,0,0,17.1,2342,4.68
TCK-5064,2026-02-05,Billing,West,NSW,5,0,4,0,1,17.4,6643,4.03
TCK-5065,2026-02-15,Billing,East,VIC,5,1,3,2,0,48.2,5738,3.46
TCK-5066,2026-03-06,Technical Support,South,NSW,5,0,4,2,2,21.8,1833,3.61
TCK-5067,2026-02-12,Billing,West,NSW,5,2,5,2,0,66.5,2099,3.54
TCK-5068,2026-03-22,Technical Support,South,NSW,5,1,4,1,0,25.2,4116,3.45
TCK-5069,2026-02-18,VIP,West,QLD,3,0,3,2,0,74.4,2488,4.09
TCK-5070,2026-02-03,Retention,East,QLD,6,1,5,0,1,62.4,3848,4.81
TCK-5071,2026-02-24,Technical Support,Specialist,VIC,10,1,7,1,0,93.2,7814,3.92
TCK-5072,2026-03-21,Billing,West,NSW,6,0,5,1,2,13.8,4524,3.91
TCK-5073,2026-03-18,Billing,West,NSW,3,2,2,1,0,64.2,2097,3.71
TCK-5074,2026-03-14,Technical Support,Specialist,NSW,5,2,3,1,4,57.9,3228,4.63
TCK-5075,2026-02-09,General,Specialist,NSW,4,0,4,1,0,34.3,4176,3.76
TCK-5076,2026-03-18,Retention,East,WA,5,1,4,1,0,9.8,2096,3.96
TCK-5077,2026-04-05,Technical Support,North,VIC,5,0,4,2,0,63.5,5421,3.22
TCK-5078,2026-02-18,Retention,North,QLD,2,0,2,0,0,97.5,2803,4.28
