order_id,order_date,category,warehouse,supplier,units_sold,fulfilled_orders,stockout_flag,backorder_count,return_count,gross_margin_pct,fulfillment_cost_aud,sales_value_aud
ORD-9000,2025-04-28,Electronics,Brisbane DC,Supplier C,8,5,1,0,1,0.344,81.15,2178.1
ORD-9001,2025-04-10,Outdoor,Melbourne DC,Supplier C,8,8,0,0,0,0.313,114.1,1442.27
ORD-9002,2025-06-01,Homewares,Melbourne DC,Supplier B,19,19,0,0,0,0.443,118.4,1719.45
ORD-9003,2025-07-05,Outdoor,Brisbane DC,Supplier A,8,8,0,0,0,0.228,109.3,1487.61
ORD-9004,2025-07-06,Outdoor,Perth DC,Supplier A,8,8,0,0,3,0.329,111.87,1718.69
ORD-9005,2025-06-10,Kitchen,Brisbane DC,Supplier D,24,24,0,0,1,0.381,106.8,1240.7
ORD-9006,2025-06-30,Kitchen,Perth DC,Supplier D,23,23,0,0,1,0.342,145.89,1774.88
ORD-9007,2025-05-29,Electronics,Sydney DC,Supplier C,14,14,0,0,1,0.222,179.95,3507.76
ORD-9008,2025-06-23,Electronics,Sydney DC,Supplier A,14,14,0,0,1,0.145,169.5,3864.61
ORD-9009,2025-04-05,Furniture,Sydney DC,Supplier C,10,10,0,0,1,0.435,161.7,4314.57
ORD-9010,2025-04-10,Furniture,Perth DC,Supplier B,6,6,0,0,0,0.29,102.64,2726.9
ORD-9011,2025-06-16,Homewares,Perth DC,Supplier D,16,16,0,0,2,0.252,101.75,1742.82
ORD-9012,2025-07-05,Homewares,Sydney DC,Supplier A,24,24,0,0,2,0.326,214.9,2972.67
ORD-9013,2025-04-15,Electronics,Sydney DC,Supplier A,13,13,0,0,2,0.193,157.66,3529.55
ORD-9014,2025-04-01,Appliances,Perth DC,Supplier B,13,11,1,2,0,0.209,140.72,3984.2
ORD-9015,2025-04-13,Electronics,Melbourne DC,Supplier D,17,17,0,0,2,0.223,195.03,4338.72
ORD-9016,2025-05-30,Kitchen,Brisbane DC,Supplier B,21,21,0,0,1,0.39,121.84,2014.92
ORD-9017,2025-06-03,Outdoor,Brisbane DC,Supplier A,12,12,0,0,1,0.38,191.47,2185.95
ORD-9018,2025-04-04,Homewares,Melbourne DC,Supplier C,26,26,0,0,1,0.319,168.21,2426.99
ORD-9019,2025-05-31,Appliances,Brisbane DC,Supplier A,13,13,0,0,2,0.286,188.39,4305.97
ORD-9020,2025-04-17,Electronics,Melbourne DC,Supplier D,27,27,0,0,5,0.19,364.76,6421.95
ORD-9021,2025-06-28,Kitchen,Brisbane DC,Supplier B,12,12,0,0,0,0.339,36.59,851.58
ORD-9022,2025-04-12,Appliances,Perth DC,Supplier D,8,8,0,0,1,0.195,111.13,2527.85
ORD-9023,2025-06-14,Outdoor,Perth DC,Supplier B,12,12,0,0,0,0.369,173.57,2412.44
ORD-9024,2025-04-18,Electronics,Perth DC,Supplier C,23,23,0,0,1,0.107,191.05,6001.31
ORD-9025,2025-04-26,Homewares,Sydney DC,Supplier D,15,15,0,0,0,0.329,107.94,1492.89
ORD-9026,2025-06-18,Outdoor,Perth DC,Supplier C,5,5,0,0,0,0.374,53.51,1010.31
ORD-9027,2025-07-08,Electronics,Brisbane DC,Supplier D,10,10,0,0,0,0.334,96.73,2432.88
ORD-9028,2025-06-28,Appliances,Perth DC,Supplier D,8,8,0,0,0,0.33,99.72,2717.14
ORD-9029,2025-06-04,Furniture,Melbourne DC,Supplier D,9,9,0,0,1,0.225,136.32,3882.92
ORD-9030,2025-04-25,Homewares,Melbourne DC,Supplier D,24,24,0,0,2,0.451,154.72,1942.41
ORD-9031,2025-05-31,Kitchen,Brisbane DC,Supplier C,25,25,0,0,1,0.448,195.28,1809.76
ORD-9032,2025-04-04,Outdoor,Brisbane DC,Supplier C,10,10,0,0,0,0.166,124.14,1454.55
ORD-9033,2025-04-20,Kitchen,Perth DC,Supplier B,11,11,0,0,1,0.292,69.22,881.72
ORD-9034,2025-06-14,Appliances,Melbourne DC,Supplier B,9,9,0,0,0,0.183,137.54,2817.25
ORD-9035,2025-05-10,Kitchen,Sydney DC,Supplier A,19,16,1,3,0,0.365,128.78,1173.73
ORD-9036,2025-04-23,Furniture,Brisbane DC,Supplier A,9,9,0,0,1,0.441,126.38,4022.53
ORD-9037,2025-04-28,Furniture,Brisbane DC,Supplier D,13,13,0,0,3,0.399,235.03,5406.73
ORD-9038,2025-04-30,Electronics,Perth DC,Supplier C,13,13,0,0,1,0.248,137.24,3404.69
ORD-9039,2025-04-07,Furniture,Perth DC,Supplier A,8,8,0,0,0,0.466,165.17,3719.43
ORD-9040,2025-06-01,Electronics,Brisbane DC,Supplier B,15,15,0,0,3,0.168,197.0,3561.99
ORD-9041,2025-05-04,Furniture,Melbourne DC,Supplier B,8,8,0,0,2,0.262,118.83,3296.4
ORD-9042,2025-06-24,Electronics,Melbourne DC,Supplier C,15,15,0,0,1,0.171,114.5,4215.16
ORD-9043,2025-06-27,Furniture,Perth DC,Supplier A,9,9,0,0,1,0.408,177.15,3911.98
